node_id,label,level,parent,description,primary_source
ME,Motivation-Emotion system (global),0,,"Superordinate node: the person's single valuation process whose two coupled readouts are motivation (action guidance) and emotion (state signaling)","Buck (1985); Rolls (2025)"
APPR,Appraisal / valuation core,1,ME,"Evaluates stimuli against needs and goals, computing reward/punisher value; comprises primary and secondary appraisal","Lazarus (1991); Rolls (2025); Scherer (2009)*"
MOT,Motivation readout,1,ME,"Action-guidance readout: direction, intensity, and persistence of goal pursuit","Buck (1985); Bandhu et al. (2024)"
EMO,Emotion readout,1,ME,"State readout: core affect, discrete emotion, expression, action tendency, subjective feeling, hedonic impact","Buck (1985); Barrett (2017)*"
BAS,Approach / reward channel,1,ME,"Positive-incentive (approach) channel; behavioral activation","Berridge (2018); Rolls (2025)"
AVD,Avoidance / punishment channel,1,ME,"Threat/punisher (avoidance) channel; behavioral inhibition; fearful salience","Berridge (2018); Rolls (2025)"
OUT_ACT,Action / behavior output,1,ME,"Instrumental, goal-directed and expressive behavior emitted by the system","Rolls (2025); Frijda (1986)*"
NEEDS_IF,Needs input layer,1,ME,"Interface to the Needs stratum (Batch F): need deficits and pressures energize and direct appraisal","Ryan & Deci (2000)*; Buck (1985)"
SYS_IF,Situation / environment layer,1,ME,"Interface to the Systems stratum (Batch H): situational stimuli are appraised; emotional expression is communicated outward","Lazarus (1991); Buck (1985)"
PERS_IF,Personality layer,1,ME,"Interface to the Personality stratum (Batch D): traits bias appraisal thresholds and affective reactivity","Lazarus (1991); Barrett (2017)*"
TEMP_IF,Temperament layer,1,ME,"Interface to the Temperament stratum (Batch E): reactivity set-points and affective thresholds (BIS/BAS)","Panksepp (2011)*; Berridge (2018)"
DIS_IF,Psychopathology interface,1,ME,"Interface to the Disorder stratum (Batch A): dysregulated wanting, anhedonia, fearful salience, maladaptive attribution, and emotion dysregulation as risk pathways","Berridge (2018); Gross (1998)*"
THER_IF,Therapy / regulation interface,1,ME,"Interface to the Therapy stratum (Batch B): reappraisal, behavioral activation, and exposure operate on the regulation edges","Gross (1998)*; Lazarus (1991)"
MECH_ATTR,Causal attribution,2,ME,"Locus, stability, and controllability ascriptions that set expectancy and generate outcome-specific emotions","Weiner (1985)"
MECH_SAL,Incentive salience ('wanting'),2,ME,"Dopaminergic attribution of motivational salience to reward cues; separable from liking and from learning","Berridge (2018)"
MECH_REG,Emotion-motivation regulation,2,ME,"Modulation of the readouts at five points: situation selection, situation modification, attentional deployment, cognitive reappraisal, response modulation","Gross (1998)*"
MECH_LEARN,Reinforcement learning / value updating,2,ME,"Reward-prediction learning and habit formation that revise appraised value; two-factor (stimulus-reinforcer) learning","Rolls (2025); Berridge (2018)"
SUB_APP1,Primary appraisal (goal relevance/congruence),2,APPR,"Whether and how a stimulus bears on active goals and needs","Lazarus (1991)"
SUB_APP2,Secondary appraisal (coping/control),2,APPR,"Appraised control, coping potential, and accountability","Lazarus (1991); Weiner (1985)"
SUB_MOT1,Direction (goal selection),2,MOT,"Selection among competing goals; approach-avoidance orientation","Bandhu et al. (2024); Rolls (2025)"
SUB_MOT2,Intensity (vigor / energization),2,MOT,"Effort and energization mobilized toward the goal","Young (1961); Buck (1985)"
SUB_MOT3,Persistence (volition),2,MOT,"Maintenance of goal pursuit over time and obstacles","Weiner (1985); Bandhu et al. (2024)"
SUB_EMO1,Core affect (valence x arousal),2,EMO,"The two-dimensional feeling substrate underlying all emotion","Russell (2003)*"
SUB_EMO2,Discrete emotion (categorical),2,EMO,"Categorical emotions (fear, anger, joy, sadness, disgust, etc.), basic or constructed","Ekman (1992)*; Panksepp (2011)*"
SUB_EMO3,Expression / communication,2,EMO,"Outward expressive signaling of emotional state (Emotion II readout)","Buck (1985); Ekman (1992)*"
SUB_EMO4,Action tendency / readiness,2,EMO,"Readiness to act in a relational mode (approach, flight, attack, rejection)","Frijda (1986)*"
SUB_EMO5,Subjective feeling / experience,2,EMO,"Consciously experienced quality of the emotion (Emotion III readout)","Buck (1985); Lazarus (1991)"
SUB_EMO6,Hedonic impact ('liking'),2,EMO,"Pleasure/displeasure reaction to reward outcome; separable from wanting","Berridge (2018)"
