node_id,label,level,parent,description,primary_source
D,Developmental trajectory (global),0,,"Superordinate node: the person's overall developmental course; interfaces with all other UPG strata","Baltes (1987)*; Berk (2018)"
DOM_PHY,Physical / Motor,1,D,"Growth, motor milestones, puberty, aging; the body as developmental platform","Berk (2018); Thelen & Smith (1994)*"
DOM_COG,Cognitive,1,D,"Attention, memory, executive function, reasoning; constructivist stage sequence as canonical subgraph","Piaget (1970)*; Crain (2014)"
DOM_LAN,Language,1,D,"Phonology through pragmatics; paradigm case of sensitive-period gating","Berk (2018); Knudsen (2004)*"
DOM_EMO,Emotional,1,D,"Emotion expression, understanding, regulation; substrate for later self-regulation","Berk (2018); Crain (2014)"
DOM_SOC,Social / Relational,1,D,"Attachment, peer relations, intimacy; internal working models as carried structure","Bowlby (1969)*; Ainsworth et al. (1978)*"
DOM_MOR,Moral,1,D,"Moral judgment and behavior; staged reorganization with social-cognitive inputs","Kohlberg (1969)*; Crain (2014)"
DOM_SLF,Self / Identity,1,D,"Self-concept, identity formation, narrative identity across psychosocial epochs","Erikson (1950)*; Berk (2018)"
CTX_CARE,Caregiving / Attachment context,1,D,"Proximal caregiving processes; interface node to the Systems stratum (Batch H)","Bowlby (1969)*; Bronfenbrenner & Morris (2006)*"
MECH_MAT,Maturation,2,D,"Genetically guided unfolding; canalization; edge-type generator","Crain (2014); Gottlieb (2007)*"
MECH_LRN,Learning,2,D,"Conditioning, observational learning; experience-driven weight change","Bandura (1977)*; Crain (2014)"
MECH_CON,Construction,2,D,"Assimilation-accommodation; stage-like reorganization of structures","Piaget (1970)*; Crain (2014)"
MECH_INT,Internalization,2,D,"Social-to-individual transfer via scaffolding within the zone of proximal development","Vygotsky (1978)*; Crain (2014)"
MECH_TRX,Transaction,2,D,"Reciprocal person-environment co-regulation over time","Sameroff (2010)*"
SUB_COG1,Sensorimotor structures,3,DOM_COG,"Action-based schemes (canonical constructivist sequence, step 1)","Piaget (1970)*"
SUB_COG2,Preoperational structures,3,DOM_COG,"Symbolic but intuition-bound thought (step 2)","Piaget (1970)*"
SUB_COG3,Concrete operational structures,3,DOM_COG,"Logical operations on concrete content (step 3)","Piaget (1970)*"
SUB_COG4,Formal operational structures,3,DOM_COG,"Hypothetico-deductive reasoning (step 4; not universally attained)","Piaget (1970)*; Crain (2014)"
SUB_SOC1,Attachment formation,3,DOM_SOC,"Preattachment through clear-cut attachment; secure-base behavior","Bowlby (1969)*; Ainsworth et al. (1978)*"
SUB_SOC2,Internal working models,3,DOM_SOC,"Carried relational expectations; bridge to personality and psychopathology strata","Bowlby (1969)*"
SUB_SOC3,Peer competence,3,DOM_SOC,"Peer acceptance, friendship quality; cascade hub in middle childhood","Masten & Cicchetti (2010)*"
