source,target,weight,sign,type,gate,origin
DIS.P,DIS.SS_EMO,0.90,+,hierarchical,none,Batch A
DIS.P,DIS.SS_PSY,0.75,+,hierarchical,none,Batch A
DIS.P,DIS.SS_EXT,0.70,+,hierarchical,none,Batch A
DIS.P,DIS.SP_NDV,0.60,+,hierarchical,none,Batch A
DIS.SS_EMO,DIS.SP_INT,0.90,+,hierarchical,none,Batch A
DIS.SS_EMO,DIS.SP_SOM,0.70,+,hierarchical,none,Batch A
DIS.SS_PSY,DIS.SP_THO,0.85,+,hierarchical,none,Batch A
DIS.SS_PSY,DIS.SP_DET,0.75,+,hierarchical,none,Batch A
DIS.SS_EXT,DIS.SP_DIS,0.85,+,hierarchical,none,Batch A
DIS.SS_EXT,DIS.SP_ANT,0.80,+,hierarchical,none,Batch A
DIS.SP_INT,DIS.SF_DIST,0.90,+,hierarchical,none,Batch A
DIS.SP_INT,DIS.SF_FEAR,0.80,+,hierarchical,none,Batch A
DIS.SP_INT,DIS.SF_EAT,0.60,+,hierarchical,none,Batch A
DIS.SP_INT,DIS.SF_SEX,0.45,+,hierarchical,none,Batch A
DIS.SP_THO,DIS.SF_MAN,0.60,+,hierarchical,none,Batch A
DIS.SP_DIS,DIS.SF_SUB,0.80,+,hierarchical,none,Batch A
DIS.SP_DIS,DIS.SF_ASB,0.75,+,hierarchical,none,Batch A
DIS.SP_INT,DIS.SP_SOM,0.60,+,cross-spectral,none,Batch A
DIS.SP_INT,DIS.SP_DET,0.50,+,cross-spectral,none,Batch A
DIS.SP_INT,DIS.SP_THO,0.45,+,cross-spectral,none,Batch A
DIS.SP_INT,DIS.SP_DIS,0.40,+,cross-spectral,none,Batch A
DIS.SP_THO,DIS.SP_DET,0.55,+,cross-spectral,none,Batch A
DIS.SP_DIS,DIS.SP_ANT,0.70,+,cross-spectral,none,Batch A
DIS.SP_DET,DIS.SP_ANT,0.35,+,cross-spectral,none,Batch A
DIS.SP_SOM,DIS.SP_THO,0.30,+,cross-spectral,none,Batch A
DIS.SP_NDV,DIS.SP_DIS,0.45,+,cross-spectral,none,Batch A
DIS.SP_NDV,DIS.SP_DET,0.40,+,cross-spectral,none,Batch A
DIS.SF_MAN,DIS.SF_DIST,0.45,+,cross-subfactor,none,Batch A
DIS.SF_DIST,DIS.SF_FEAR,0.70,+,cross-subfactor,none,Batch A
DIS.SF_SUB,DIS.SF_ASB,0.60,+,cross-subfactor,none,Batch A
DIS.SP_INT,DIS.SP_INT,0.30,+,autoregressive,none,Batch A
DIS.SP_DIS,DIS.SP_DIS,0.25,+,autoregressive,none,Batch A
THER.N01,THER.N02,0.90,+,sequential,none,Batch B
THER.N02,THER.N03,0.90,+,sequential,none,Batch B
THER.N03,THER.N04,0.85,+,sequential,none,Batch B
