source,target,weight,sign,type,gate,evidence_basis,primary_source
D,DOM_PHY,0.85,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018)"
D,DOM_COG,0.85,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018)"
D,DOM_LAN,0.80,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018)"
D,DOM_EMO,0.85,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018)"
D,DOM_SOC,0.85,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018)"
D,DOM_MOR,0.70,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018); Crain (2014)"
D,DOM_SLF,0.80,+,hierarchical,none,"Global trajectory decomposes into domain trajectories","Berk (2018); Erikson (1950)*"
DOM_PHY,DOM_COG,0.60,+,cascade,infancy-peak,"Motor achievements open exploration that drives cognitive growth","Thelen & Smith (1994)*; Berk (2018)"
DOM_COG,DOM_LAN,0.65,+,cascade,early-childhood-peak,"Cognitive prerequisites feed vocabulary and grammar growth","Berk (2018); Piaget (1970)*"
DOM_LAN,DOM_SOC,0.60,+,cascade,childhood,"Language competence enables peer interaction and social understanding","Berk (2018); Masten & Cicchetti (2010)*"
DOM_LAN,DOM_COG,0.55,+,cascade,childhood,"Private speech and semiotic tools restructure thought","Vygotsky (1978)*"
DOM_EMO,DOM_SOC,0.65,+,cascade,none,"Emotion regulation capacity conditions relationship quality","Berk (2018); Bowlby (1969)*"
DOM_SOC,DOM_EMO,0.60,+,cascade,infancy-peak,"Co-regulation within attachment trains self-regulation","Bowlby (1969)*; Ainsworth et al. (1978)*"
DOM_SOC,DOM_MOR,0.55,+,cascade,childhood-adolescence,"Perspective-taking within relationships drives moral stage movement","Kohlberg (1969)*; Crain (2014)"
DOM_COG,DOM_MOR,0.55,+,cascade,childhood-adolescence,"Cognitive development is necessary but insufficient for moral development","Kohlberg (1969)*"
DOM_SOC,DOM_SLF,0.65,+,cascade,adolescence-peak,"Relational feedback and identifications build identity","Erikson (1950)*; Berk (2018)"
DOM_COG,DOM_SLF,0.50,+,cascade,adolescence-peak,"Formal thought enables reflective identity work","Erikson (1950)*; Piaget (1970)*"
DOM_SLF,DOM_SOC,0.45,+,cascade,adolescence-adulthood,"Identity consolidation conditions intimacy capacity","Erikson (1950)*"
CTX_CARE,DOM_SOC,0.75,+,transactional,infancy-peak,"Caregiving sensitivity shapes attachment security","Ainsworth et al. (1978)*; Bowlby (1969)*"
CTX_CARE,DOM_EMO,0.65,+,transactional,infancy-peak,"Caregiver co-regulation scaffolds emotion regulation","Berk (2018)"
CTX_CARE,DOM_LAN,0.60,+,transactional,sensitive-period,"Language input quantity/quality gates language growth","Knudsen (2004)*; Berk (2018)"
DOM_EMO,CTX_CARE,0.50,+,transactional,infancy-peak,"Child characteristics evoke caregiving changes (evocative transaction)","Sameroff (2010)*"
DOM_PHY,DOM_PHY,0.40,+,autoregressive,none,"Canalized growth: maturational momentum; Axiom 4","Gottlieb (2007)*"
DOM_COG,DOM_COG,0.50,+,autoregressive,none,"Skills beget skills: cumulative cognitive advantage; Axiom 4","Masten & Cicchetti (2010)*"
DOM_SOC,DOM_SOC,0.45,+,autoregressive,none,"Working models self-perpetuate by selecting confirming experience; Axiom 4","Bowlby (1969)*; Sameroff (2010)*"
SUB_COG1,SUB_COG2,0.80,+,stage-sequence,maturation-gated,"Invariant order claim of constructivist sequence (order, not timing)","Piaget (1970)*"
SUB_COG2,SUB_COG3,0.80,+,stage-sequence,maturation-gated,"Invariant order claim","Piaget (1970)*"
SUB_COG3,SUB_COG4,0.60,+,stage-sequence,maturation-gated,"Weaker: formal operations not universally attained","Piaget (1970)*; Crain (2014)"
SUB_SOC1,SUB_SOC2,0.75,+,stage-sequence,infancy-peak,"Attachment experience consolidates into working models","Bowlby (1969)*"
SUB_SOC2,SUB_SOC3,0.55,+,cascade,childhood,"Working models shape peer competence","Masten & Cicchetti (2010)*; Bowlby (1969)*"
SUB_SOC2,DOM_SLF,0.50,+,cascade,adolescence-peak,"Relational self-representations feed identity","Erikson (1950)*; Bowlby (1969)*"
