node_id,label,level,parent,function,approach_ancestry,evidence_weight,process_weight,primary_source
N01,Entry / Triage,0,,"Identify presenting problem, urgency, fit, care level, immediate risk","Clinical assessment; crisis work; CBT protocols; DBT; psychiatric triage",4,5,"APA Presidential Task Force (2006)"
N02,Safety + Ethical Frame,0,,"Consent, confidentiality limits, risk procedures, scope, boundaries, referral thresholds","All approaches; DBT/crisis; trauma-informed care; ethics codes",5,5,"American Psychological Association (2017); Linehan (2015)"
N03,Engagement / Alliance,0,,"Bond, task agreement, goal agreement, empathy, collaboration, rupture-repair","Psychodynamic alliance theory; person-centered; CBT collaboration; EFT; systemic",5,5,"Bordin (1979); Flückiger et al. (2018); Elliott et al. (2018)"
N04,Assessment,0,,"Map symptoms, functioning, risk, history, strengths, context, culture, readiness, preferences","Evidence-based assessment; CBT; psychiatric diagnosis; systemic; ACT",4,5,"Eells (2022); APA Presidential Task Force (2006)"
N05,Case Formulation,0,,"Convert assessment into living causal/functional map with maintaining loops","CBT conceptualization; psychodynamic; schema; ACT; systemic; EFT",4,5,"Eells (2022); Norcross & Goldfried (2019)"
N06,Goal Agreement,0,,"Define shared treatment targets aligned with client values and priorities","CBT collaborative empiricism; ACT values; IPT; DBT hierarchy; solution-focused",5,5,"Tryon & Winograd (2011); Bordin (1979)"
N07,Change Work / Intervention,0,,"Targeted methods changing cognition, behavior, emotion, relations, skills, meaning, context","CBT; exposure; BA; DBT; ACT; EFT; psychodynamic; schema; Gestalt; IPT; systemic",5,5,"Wampold & Imel (2015); Barth et al. (2013); Hayes & Hofmann (2018)"
N08,Practice + Generalization,0,,"Transfer session learning into life: homework, experiments, exposure, skills practice","CBT homework; DBT skills; ACT committed action; exposure; systemic tasks",4,4,"Kazantzis et al. (2010)"
N09,Outcome Monitoring,0,,"Track symptoms, functioning, alliance, goals, risk, deterioration, not-on-track cases","Measurement-based care; feedback-informed treatment; CBT tracking",5,5,"Lambert et al. (2018)"
N10,Review + Adaptation,0,,"Repair alliance, revise formulation, change intervention, step care, refer, adjust goals","Process-based therapy; measurement-based care; integrative; supervision",4,5,"Hayes & Hofmann (2018); Lambert et al. (2018); Norcross & Wampold (2019)"
N11,Consolidation / Termination / Maintenance,0,,"Summarize gains, relapse prevention, booster routes, transfer agency to client","CBT relapse prevention; ACT maintenance; DBT; psychodynamic termination",3,4,"Norcross & Goldfried (2019); Wampold & Imel (2015)"
S0301,Bond,1,N03,"Emotional attachment and trust between client and therapist","Psychodynamic; person-centered",5,5,"Bordin (1979); Flückiger et al. (2018)"
S0302,Task Agreement,1,N03,"Consensus on in-therapy activities","CBT collaboration; integrative",5,5,"Bordin (1979)"
S0303,Goal Agreement (alliance facet),1,N03,"Consensus on outcomes sought","All approaches",5,5,"Bordin (1979); Tryon & Winograd (2011)"
S0304,Empathy / Validation,1,N03,"Accurate empathic understanding communicated","Person-centered; EFT; DBT validation",5,5,"Elliott et al. (2018)"
S0305,Collaboration,1,N03,"Shared work posture and mutuality","CBT; integrative",4,5,"Tryon & Winograd (2011)"
S0306,Rupture Detection + Repair,1,N03,"Notice and repair alliance strains","Psychodynamic; integrative responsiveness",4,5,"Norcross & Wampold (2019)"
S0501,Presenting Problem,1,N05,"Anchor complaint of the formulation cycle","All approaches",4,5,"Eells (2022)"
S0502,Triggers,1,N05,"Situational and internal antecedents","CBT functional analysis; ACT",4,5,"Eells (2022); Hayes & Hofmann (2018)"
S0503,Emotion / Body State,1,N05,"Affective and somatic activation","EFT emotion schemes; somatic approaches",4,5,"Norcross & Goldfried (2019)"
S0504,Meaning / Belief / Schema,1,N05,"Cognitive-schematic appraisal layer","CBT; schema therapy; psychodynamic conflict",4,5,"Eells (2022)"
S0505,Action / Avoidance / Coping,1,N05,"Behavioral response incl. avoidance and safety behaviors","CBT; ACT; exposure tradition",4,5,"Hayes & Hofmann (2018)"
S0506,Consequences,1,N05,"Short- and long-term outcomes closing the maintaining loop","Behavioral; CBT",4,5,"Eells (2022)"
