source,target,weight,sign,type,gate,evidence_basis,primary_source
P,LAYER_TRT,0.85,+,hierarchical,none,"Personality system decomposes into three layers","McAdams & Pals (2006)*"
P,LAYER_ADP,0.85,+,hierarchical,none,"Personality system decomposes into three layers","McAdams & Pals (2006)*"
P,LAYER_NAR,0.80,+,hierarchical,none,"Personality system decomposes into three layers","McAdams & Pals (2006)*"
LAYER_TRT,TRT_N,0.80,+,hierarchical,none,"Big Five as consensus trait structure","Costa & McCrae (1992)*; Sangwan (2023)"
LAYER_TRT,TRT_E,0.80,+,hierarchical,none,"Big Five as consensus trait structure","Costa & McCrae (1992)*; Sangwan (2023)"
LAYER_TRT,TRT_O,0.80,+,hierarchical,none,"Big Five as consensus trait structure","Costa & McCrae (1992)*; Sangwan (2023)"
LAYER_TRT,TRT_A,0.80,+,hierarchical,none,"Big Five as consensus trait structure","Costa & McCrae (1992)*; Sangwan (2023)"
LAYER_TRT,TRT_C,0.80,+,hierarchical,none,"Big Five as consensus trait structure","Costa & McCrae (1992)*; Sangwan (2023)"
TRT_N,N1,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_N,N2,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_N,N3,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_N,N4,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_N,N5,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_N,N6,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E1,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E2,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E3,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E4,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E5,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_E,E6,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O1,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O2,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O3,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O4,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O5,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_O,O6,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A1,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A2,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A3,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A4,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A5,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_A,A6,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C1,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C2,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C3,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C4,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C5,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TRT_C,C6,0.75,+,hierarchical,none,"Domain-facet loading (NEO-PI-R)","Costa & McCrae (1992)*"
TEMP_IN,LAYER_TRT,0.70,+,cascade,childhood-peak,"Temperament as developmental substrate of adult traits (time-gated per UDevG)","Corr & Matthews (2009); Hampson (2012)"
LAYER_TRT,LAYER_ADP,0.65,+,cascade,none,"Basic tendencies shape characteristic adaptations (FFT arrow)","McCrae & Costa (2008)*"
LAYER_ADP,LAYER_NAR,0.55,+,cascade,adolescence-adulthood,"Goals and self-schemas supply story material; narrative identity emerges in adolescence","McAdams & Pals (2006)*"
LAYER_NAR,LAYER_ADP,0.45,+,transactional,adulthood,"Story revision reorganizes goals and values","McAdams & Pals (2006)*"
LAYER_TRT,ST_STATE,0.70,+,cascade,none,"Traits as density distributions of momentary states","Fleeson (2001)*; Wilt & Revelle (2019)"
LAYER_ADP,ST_STATE,0.55,+,cascade,none,"Active goals and construals shape momentary experience","Mischel & Shoda (1995)*; DeYoung (2015)*"
CTX_SIT,ST_STATE,0.60,+,cascade,none,"Contexts and activities have main effects on momentary affect","Wilt & Revelle (2019)"
LAYER_TRT,MECH_SEL,0.60,+,cascade,none,"Traits predict frequency of trait-consistent contexts","Wilt & Revelle (2019); Buss (1987)*"
MECH_SEL,CTX_SIT,0.60,+,cascade,none,"Selection: people choose environments matching dispositions","Buss (1987)*"
LAYER_TRT,MECH_EVO,0.50,+,cascade,none,"Traits elicit characteristic responses from others","Buss (1987)*; Hampson (2012)"
MECH_EVO,CTX_SIT,0.50,+,cascade,none,"Evocation alters the person's effective social environment","Buss (1987)*; Hampson (2012)"
CTX_SIT,MECH_REA,0.55,+,cascade,none,"Same situation, trait-dependent construal and reactivity (moderation)","Hampson (2012); Mischel & Shoda (1995)*"
MECH_REA,ST_STATE,0.55,+,cascade,none,"Reactive processes deliver trait-typical states","Hampson (2012)"
LAYER_TRT,MECH_INS,0.60,+,cascade,none,"Traits drive intervening behaviors (instrumental mediation)","Hampson (2012)"
MECH_INS,OUT_LIFE,0.60,+,cascade,none,"Mediating behaviors (e.g., health behaviors) produce outcomes","Hampson (2012); Roberts et al. (2007)*"
TRT_N,OUT_LIFE,0.45,-,cascade,none,"Negative emotionality predicts worse health/wellbeing outcomes","Hampson (2012); Ozer & Benet-Martínez (2006)*"
TRT_C,OUT_LIFE,0.50,+,cascade,none,"Constraint predicts longevity, work, and health outcomes","Hampson (2012); Roberts et al. (2007)*"
SUB_ADP1,MECH_CYB,0.60,+,cascade,none,"Goals parameterize the cybernetic control cycle","DeYoung (2015)*"
MECH_CYB,ST_STATE,0.55,+,cascade,none,"Goal-action-feedback cycle generates state sequences","DeYoung (2015)*"
OUT_LIFE,MECH_CYB,0.45,+,feedback,none,"Outcomes are compared against goals (feedback limb)","DeYoung (2015)*"
OUT_LIFE,LAYER_NAR,0.40,+,cascade,adulthood,"Consequential outcomes become story episodes","McAdams & Pals (2006)*"
OUT_LIFE,LAYER_TRT,0.35,+,transactional,age-increasing,"Corresponsive principle: life experience feeds back into traits","Caspi et al. (2005)*; Roberts et al. (2006)*"
CTX_SIT,LAYER_ADP,0.50,+,transactional,none,"Contexts install and revise adaptations","Mischel & Shoda (1995)*; Yan et al. (2023)"
LAYER_TRT,LAYER_TRT,0.70,+,autoregressive,age-increasing,"Rank-order stability rising with age (cumulative continuity); Axiom 4","Roberts & DelVecchio (2000)*; Atherton et al. (2022)"
LAYER_NAR,LAYER_NAR,0.50,+,autoregressive,none,"Narrative self-reinforcement: the story selects confirming episodes; Axiom 4","McAdams & Pals (2006)*"
ST_STATE,LAYER_TRT,0.30,+,feedback,none,"Repeated states consolidate into trait change (bottom-up whole-trait route)","Fleeson & Jayawickreme (2015)*"
