node_id,label,level,parent,description,primary_source
SYS,Systems / environment dimension (global),0,,"Superordinate node: the person as an autonomous unity embedded in a hierarchy of nested, mutually coupled environmental systems that supply and thwart the conditions of psychological functioning","Bronfenbrenner (1977); von Bertalanffy (1968); Laszlo & Krippner (1998)"
MICRO,Microsystem,1,SYS,"Immediate face-to-face settings that contain the developing person and in which proximal processes occur (home, school, workplace, peer group)","Bronfenbrenner (1977)"
MESO,Mesosystem,1,SYS,"The system of microsystems: the interrelations among the immediate settings a person participates in (home-school, work-family linkages)","Bronfenbrenner (1977)"
EXO,Exosystem,1,SYS,"Settings that do not contain the person but impinge on the settings that do (caregiver workplace, local government, media, service systems, social networks)","Bronfenbrenner (1977)"
MACRO,Macrosystem,1,SYS,"The overarching economic, political, legal, and cultural blueprints of a society, carried as institutions and as ideology, that pattern all lower systems","Bronfenbrenner (1977); Laszlo & Krippner (1998)"
CHRONO,Chronosystem,1,SYS,"The temporal dimension of the environment: ecological transitions, life-course change, cohort and historical time","Bronfenbrenner (1979)*"
BOUNDARY,Person-environment boundary (autopoietic interface),1,SYS,"The organizationally closed boundary of the person as a self-producing (autopoietic) unity that is structurally coupled to, but not determined by, its environment","Maturana, Varela & Uribe (1974)"
FAM,Family / household,2,MICRO,"The primary microsystem: patterns of interaction among household members; the setting whose homeostasis and interaction sequences most strongly shape functioning","Selvini Palazzoli et al. (1980); Szapocznik et al. (2012)"
SCHWORK,School / workplace,2,MICRO,"The achievement microsystem: educational or occupational setting with its roles, demands, and reinforcement structures","Bronfenbrenner (1977)"
PEER,Peer / community group,2,MICRO,"The affiliative microsystem: peers, neighbourhood, and community networks that provide support, norms, and social capital","Jason & Bobak (2022)"
LINK_XS,Cross-setting linkages,2,MESO,"The connective tissue of the mesosystem: congruence or conflict between settings (e.g., home-school communication) that amplifies or buffers their separate effects","Bronfenbrenner (1977)"
ECON_LOCAL,Caregiver economy / employment,2,EXO,"The exosystem of parental or caregiver work and material resources whose stresses propagate into the microsystem as second-order effects","Bronfenbrenner (1977)"
SERV,Service & health systems,2,EXO,"The organized care system: mental-health, health, education, and social services, their coverage, quality, and accessibility","Jordans (2025); Jason & Bobak (2022)"
MEDIA,Media / information environment,2,EXO,"The communicative exosystem: mass and digital media that transmit macro-level ideology and norms into settings","Bronfenbrenner (1977)"
GOV_LOCAL,Local institutions / governance,2,EXO,"Local agencies of government and civil society that administer resources and services at the concrete community level","Bronfenbrenner (1977)"
STATE,State / government / law & policy,2,MACRO,"The political-legal macrosystem: the state's police and parens patriae powers, and the policies through which it shapes inequality, privacy, and access to care","Siegel (2008); Jordans (2025)"
MAC_ECON,Economic system / material resources,2,MACRO,"The macro-economic structure that determines the distribution of income, wealth, and material security across the population","Dickerson & Popli (2016); Mani et al. (2013)"
INEQ,Socioeconomic inequality,2,MACRO,"The gradient of socioeconomic position and its concentration; a macro-structural condition that patterns exposure to adversity","Siegel (2008); Fittipaldi et al. (2024)"
CULT,Cultural norms / ideology,2,MACRO,"Shared values, beliefs, and cognitive maps that give meaning and priority to settings, roles, and behaviours; reproduced across generations","Laszlo & Krippner (1998); Bronfenbrenner (1977)"
FEEDBACK,Feedback / circular causality,3,SYS,"Mechanism: circular, recursive causation and homeostatic regulation by which systems maintain steady states and resist change","Wiener (in Lalande, 2011); Selvini Palazzoli et al. (1980)"
COUPLING,Structural coupling,3,SYS,"Mechanism: the recurrent person-environment interactions through which an autopoietic unity and its medium reciprocally trigger structural change without loss of autonomy","Maturana, Varela & Uribe (1974)"
PROX_PROC,Proximal processes,3,SYS,"Mechanism: the enduring, reciprocal, progressively more complex interactions in the microsystem that are the proximate engines of development","Bronfenbrenner (1977)"
SOC_DETERM,Social-determinant transduction,3,SYS,"Mechanism: the pathways (scarcity, cognitive load, food insecurity, chronic stress) that convert macro-structural conditions into individual cognition and mental health","Mani et al. (2013); Nagpaul et al. (2021); Liu & Li (2023)"
LEVERAGE,Leverage points / systemic intervention,3,SYS,"Mechanism: places in the system where a small, well-placed change produces large, distributed effects; the target of systemic therapy and systems-level policy","Jordans (2025); Retzlaff et al. (2013)"
PERSON_IF,Person-model interface,1,SYS,"Coupling node: the mother node of the person to which every systems influence is delivered and from which behaviour is emitted back into the environment","Bronfenbrenner (1977); Maturana, Varela & Uribe (1974)"
NEEDS_IF,Needs interface (Batch F),1,SYS,"Coupling to the needs stratum: the environment as the field that satisfies or frustrates existence, safety, relatedness, and the other needs","Jordans (2025)"
ME_IF,Motivation-emotion / situation interface (Batch G),1,SYS,"Coupling to the motivation-emotion stratum: the situation as the appraised stimulus field feeding the valuation core","Shah et al. (2018); Mani et al. (2013)"
DEV_IF,Development interface (Batch C),1,SYS,"Coupling to the developmental stratum: ecological transitions and proximal processes as the drivers and gates of development over time","Bronfenbrenner (1977)"
DIS_IF,Psychopathology interface (Batch A),1,SYS,"Coupling to the disorder stratum: systemic and social-determinant conditions as an environmental class of disorder priors","Siegel (2008); Szapocznik et al. (2012)"
THER_IF,Therapy interface (Batch B),1,SYS,"Coupling to the therapy stratum: the systemic therapies and systems-level interventions that act on the environment as the treatment lever","Retzlaff et al. (2013); Szapocznik et al. (2012)"
