source,target,weight,sign,type,gate,evidence_basis,primary_source
ME,APPR,0.90,+,hierarchical,none,"System decomposes into its shared valuation core","Rolls (2025); Lazarus (1991)"
ME,MOT,0.90,+,hierarchical,none,"System decomposes into the motivation readout","Buck (1985)"
ME,EMO,0.90,+,hierarchical,none,"System decomposes into the emotion readout","Buck (1985)"
ME,BAS,0.80,+,hierarchical,none,"Approach channel of the system","Berridge (2018)"
ME,AVD,0.80,+,hierarchical,none,"Avoidance channel of the system","Berridge (2018)"
APPR,SUB_APP1,0.85,+,hierarchical,none,"Appraisal comprises primary appraisal","Lazarus (1991)"
APPR,SUB_APP2,0.80,+,hierarchical,none,"Appraisal comprises secondary appraisal","Lazarus (1991)"
MOT,SUB_MOT1,0.85,+,hierarchical,none,"Motivation comprises direction","Bandhu et al. (2024)"
MOT,SUB_MOT2,0.85,+,hierarchical,none,"Motivation comprises intensity","Young (1961)"
MOT,SUB_MOT3,0.80,+,hierarchical,none,"Motivation comprises persistence","Weiner (1985)"
EMO,SUB_EMO1,0.85,+,hierarchical,none,"Emotion comprises core affect","Russell (2003)*"
EMO,SUB_EMO2,0.80,+,hierarchical,none,"Emotion comprises discrete categories","Ekman (1992)*"
EMO,SUB_EMO3,0.75,+,hierarchical,none,"Emotion comprises expression","Buck (1985)"
EMO,SUB_EMO4,0.80,+,hierarchical,none,"Emotion comprises action tendency","Frijda (1986)*"
EMO,SUB_EMO5,0.75,+,hierarchical,none,"Emotion comprises subjective feeling","Buck (1985)"
EMO,SUB_EMO6,0.75,+,hierarchical,none,"Emotion comprises hedonic impact","Berridge (2018)"
NEEDS_IF,APPR,0.80,+,cascade,none,"Need deficits set the goal-relevance of stimuli; needs are the input layer of motivation","Ryan & Deci (2000)*; Buck (1985)"
SYS_IF,APPR,0.75,+,transactional,situational,"Situational stimuli are appraised; person and environment transact","Lazarus (1991)"
PERS_IF,APPR,0.55,+,cascade,none,"Traits bias appraisal thresholds (e.g., neuroticism raises threat appraisal)","Lazarus (1991); Barrett (2017)*"
PERS_IF,EMO,0.50,+,cascade,none,"Trait affectivity biases emotional reactivity","Barrett (2017)*"
TEMP_IF,BAS,0.60,+,cascade,none,"Temperament sets approach-system reactivity (BAS)","Panksepp (2011)*; Berridge (2018)"
TEMP_IF,AVD,0.60,+,cascade,none,"Temperament sets avoidance-system reactivity (BIS)","Panksepp (2011)*"
TEMP_IF,SUB_EMO1,0.55,+,cascade,none,"Temperament sets baseline core-affect set-points","Russell (2003)*; Panksepp (2011)*"
APPR,MOT,0.80,+,cascade,none,"Appraised reward/punisher value sets motivational direction and intensity","Rolls (2025); Lazarus (1991)"
APPR,EMO,0.85,+,cascade,none,"Appraisal is a necessary and largely sufficient cause of emotion","Lazarus (1991); Scherer (2009)*"
MOT,EMO,0.55,+,transactional,none,"Emotion is the readout of motivational-system state","Buck (1985); Turner et al. (2003)"
EMO,MOT,0.60,+,transactional,none,"Action tendencies and affect feed back to shape motivation","Frijda (1986)*; Turner et al. (2003)"
APPR,BAS,0.75,+,cascade,situational,"Positive/reward appraisal drives the approach channel","Rolls (2025); Berridge (2018)"
APPR,AVD,0.75,+,cascade,situational,"Threat/punisher appraisal drives the avoidance channel","Rolls (2025); Lazarus (1991)"
BAS,SUB_MOT1,0.70,+,cascade,none,"Approach channel orients motivational direction toward reward","Berridge (2018)"
AVD,SUB_MOT1,0.65,-,cascade,none,"Avoidance channel orients direction away from threat (signed opposition)","Berridge (2018); Rolls (2025)"
BAS,SUB_EMO1,0.65,+,cascade,none,"Approach state raises core-affect valence","Russell (2003)*; Berridge (2018)"
