node_id,label,level,parent,description,primary_source
P,Personality system (global),0,,"Superordinate node: the person's organized pattern of traits, adaptations, and narrative; interfaces with all other UPG strata","McAdams & Pals (2006)*; Corr & Matthews (2009)"
LAYER_TRT,Dispositional traits,1,P,"Layer 1: broad, decontextualized, relatively stable dispositions; Big Five as consensus structure","McAdams & Pals (2006)*; McCrae & Costa (2008)*"
LAYER_ADP,Characteristic adaptations,1,P,"Layer 2: contextualized goals, values, self-schemas, and if-then signatures","McAdams & Pals (2006)*; McCrae & Costa (2008)*"
LAYER_NAR,Narrative identity,1,P,"Layer 3: internalized, evolving life story conferring unity and purpose","McAdams & Pals (2006)*"
ST_STATE,Momentary states,1,P,"Distribution of momentary thoughts, feelings, and behaviors; traits as density distributions of states","Fleeson (2001)*; Wilt & Revelle (2019)"
CTX_SIT,Situations / contexts,1,P,"Everyday contexts and activities; interface node to the Systems stratum (Batch H)","Wilt & Revelle (2019); Mischel & Shoda (1995)*"
OUT_LIFE,Consequential outcomes,1,P,"Health, work, relationship, and societal outcomes predicted by personality","Ozer & Benet-Martínez (2006)*; Roberts et al. (2007)*; Hampson (2012)"
TEMP_IN,Temperament substrate,1,P,"Biologically-based early-appearing dispositions; interface node to the Temperament stratum (Batch E)","Corr & Matthews (2009); Hampson (2012)"
MECH_SEL,Situation selection,2,P,"Instrumental process: trait-consistent choice of environments and activities","Buss (1987)*; Wilt & Revelle (2019)"
MECH_EVO,Evocation,2,P,"Instrumental process: traits elicit characteristic responses from others","Buss (1987)*; Hampson (2012)"
MECH_REA,Reactive processes,2,P,"Moderating process: trait-dependent construal of and reactivity to the same situation","Hampson (2012); Mischel & Shoda (1995)*"
MECH_INS,Instrumental mediation,2,P,"Mediating process: traits produce outcomes through intervening behaviors (e.g., health behaviors)","Hampson (2012)"
MECH_CYB,Cybernetic goal loop,2,P,"Goal-action-feedback control cycle organizing trait function","DeYoung (2015)*"
TRT_N,Neuroticism,2,LAYER_TRT,"Negative emotionality: threat sensitivity and distress proneness","Costa & McCrae (1992)*; Sangwan (2023)"
TRT_E,Extraversion,2,LAYER_TRT,"Positive emotionality: sociability, assertiveness, reward sensitivity","Costa & McCrae (1992)*; Sangwan (2023)"
TRT_O,Openness/Intellect,2,LAYER_TRT,"Imagination, aesthetic sensitivity, intellectual engagement","Costa & McCrae (1992)*; Sangwan (2023)"
TRT_A,Agreeableness,2,LAYER_TRT,"Cooperation, compassion, politeness","Costa & McCrae (1992)*; Sangwan (2023)"
TRT_C,Conscientiousness,2,LAYER_TRT,"Constraint: industriousness, orderliness, impulse control","Costa & McCrae (1992)*; Sangwan (2023)"
SUB_ADP1,Goals and motives,2,LAYER_ADP,"Personal strivings, life tasks, motive dispositions","McAdams & Pals (2006)*; DeYoung (2015)*"
SUB_ADP2,Values and beliefs,2,LAYER_ADP,"Internalized standards, ideologies, expectancies","McAdams & Pals (2006)*; Schultz & Schultz (2017)"
SUB_ADP3,Self-concept and schemas,2,LAYER_ADP,"Self-representations, self-efficacy, working self-knowledge","Schultz & Schultz (2017); Mischel & Shoda (1995)*"
SUB_ADP4,If-then behavioral signatures,2,LAYER_ADP,"Stable situation-behavior contingency profiles (CAPS)","Mischel & Shoda (1995)*"
SUB_NAR1,Life-story themes,2,LAYER_NAR,"Agency and communion themes across the internalized story","McAdams & Pals (2006)*"
SUB_NAR2,Redemption/contamination sequences,2,LAYER_NAR,"Valenced narrative arcs linked to generativity and wellbeing","McAdams & Pals (2006)*"
N1,Anxiety,3,TRT_N,"NEO facet N1","Costa & McCrae (1992)*"
N2,Angry hostility,3,TRT_N,"NEO facet N2","Costa & McCrae (1992)*"
N3,Depression,3,TRT_N,"NEO facet N3","Costa & McCrae (1992)*"
N4,Self-consciousness,3,TRT_N,"NEO facet N4","Costa & McCrae (1992)*"
N5,Impulsiveness,3,TRT_N,"NEO facet N5","Costa & McCrae (1992)*"
N6,Vulnerability,3,TRT_N,"NEO facet N6","Costa & McCrae (1992)*"
E1,Warmth,3,TRT_E,"NEO facet E1","Costa & McCrae (1992)*"
E2,Gregariousness,3,TRT_E,"NEO facet E2","Costa & McCrae (1992)*"
E3,Assertiveness,3,TRT_E,"NEO facet E3","Costa & McCrae (1992)*"
E4,Activity,3,TRT_E,"NEO facet E4","Costa & McCrae (1992)*"
E5,Excitement-seeking,3,TRT_E,"NEO facet E5","Costa & McCrae (1992)*"
E6,Positive emotions,3,TRT_E,"NEO facet E6","Costa & McCrae (1992)*"
O1,Fantasy,3,TRT_O,"NEO facet O1","Costa & McCrae (1992)*"
O2,Aesthetics,3,TRT_O,"NEO facet O2","Costa & McCrae (1992)*"
O3,Feelings,3,TRT_O,"NEO facet O3","Costa & McCrae (1992)*"
O4,Actions,3,TRT_O,"NEO facet O4","Costa & McCrae (1992)*"
O5,Ideas,3,TRT_O,"NEO facet O5","Costa & McCrae (1992)*"
O6,Values,3,TRT_O,"NEO facet O6","Costa & McCrae (1992)*"
A1,Trust,3,TRT_A,"NEO facet A1","Costa & McCrae (1992)*"
A2,Straightforwardness,3,TRT_A,"NEO facet A2","Costa & McCrae (1992)*"
A3,Altruism,3,TRT_A,"NEO facet A3","Costa & McCrae (1992)*"
A4,Compliance,3,TRT_A,"NEO facet A4","Costa & McCrae (1992)*"
A5,Modesty,3,TRT_A,"NEO facet A5","Costa & McCrae (1992)*"
