source,target,weight,sign,type,gate,evidence_basis,primary_source
SYS,MICRO,0.90,+,hierarchical,none,"Dimension decomposes into the immediate-setting stratum","Bronfenbrenner (1977)"
SYS,MESO,0.85,+,hierarchical,none,"Dimension decomposes into the inter-setting stratum","Bronfenbrenner (1977)"
SYS,EXO,0.85,+,hierarchical,none,"Dimension decomposes into the indirect-setting stratum","Bronfenbrenner (1977)"
SYS,MACRO,0.90,+,hierarchical,none,"Dimension decomposes into the societal-blueprint stratum","Bronfenbrenner (1977)"
SYS,CHRONO,0.80,+,hierarchical,none,"Dimension decomposes into the temporal stratum","Bronfenbrenner (1979)*"
SYS,BOUNDARY,0.90,+,hierarchical,none,"Dimension includes the autopoietic person-environment boundary","Maturana, Varela & Uribe (1974)"
MICRO,FAM,0.90,+,hierarchical,none,"Microsystem contains the family setting","Selvini Palazzoli et al. (1980)"
MICRO,SCHWORK,0.80,+,hierarchical,none,"Microsystem contains the school/work setting","Bronfenbrenner (1977)"
MICRO,PEER,0.75,+,hierarchical,none,"Microsystem contains the peer/community setting","Jason & Bobak (2022)"
MESO,LINK_XS,0.85,+,hierarchical,none,"Mesosystem is realised as cross-setting linkages","Bronfenbrenner (1977)"
EXO,ECON_LOCAL,0.80,+,hierarchical,none,"Exosystem contains the caregiver economy","Bronfenbrenner (1977)"
EXO,SERV,0.80,+,hierarchical,none,"Exosystem contains the service and health systems","Jordans (2025)"
EXO,MEDIA,0.70,+,hierarchical,none,"Exosystem contains the media/information environment","Bronfenbrenner (1977)"
EXO,GOV_LOCAL,0.75,+,hierarchical,none,"Exosystem contains local governance","Bronfenbrenner (1977)"
MACRO,STATE,0.85,+,hierarchical,none,"Macrosystem contains the state/legal order","Siegel (2008)"
MACRO,MAC_ECON,0.85,+,hierarchical,none,"Macrosystem contains the economic system","Dickerson & Popli (2016)"
MACRO,INEQ,0.85,+,hierarchical,none,"Macrosystem contains the inequality gradient","Siegel (2008)"
MACRO,CULT,0.80,+,hierarchical,none,"Macrosystem contains cultural norms and ideology","Laszlo & Krippner (1998)"
MACRO,EXO,0.70,+,nested,none,"Societal blueprint patterns local institutions (macro shapes exo)","Bronfenbrenner (1977)"
EXO,MESO,0.60,+,nested,none,"Indirect settings shape the linkages among immediate settings","Bronfenbrenner (1977)"
MESO,MICRO,0.65,+,nested,none,"Congruence among settings modulates each setting's influence","Bronfenbrenner (1977)"
MICRO,PROX_PROC,0.85,+,mechanism,none,"Immediate settings are where proximal processes operate","Bronfenbrenner (1977)"
PROX_PROC,PERSON_IF,0.85,+,mechanism,dev_window,"Proximal processes are the proximate engines of functioning and development","Bronfenbrenner (1977)"
MICRO,BOUNDARY,0.75,+,transactional,none,"Immediate settings are the medium the person is structurally coupled to","Maturana, Varela & Uribe (1974)"
BOUNDARY,COUPLING,0.80,+,mechanism,none,"The person-environment boundary operates by structural coupling","Maturana, Varela & Uribe (1974)"
COUPLING,PERSON_IF,0.80,+,mechanism,none,"Structural coupling delivers environmental perturbation to the autonomous person without determining it","Maturana, Varela & Uribe (1974)"
COUPLING,COUPLING,0.60,+,self-loop,none,"Autopoietic self-production: the unity continuously regenerates its own organisation","Maturana, Varela & Uribe (1974)"
ECON_LOCAL,FAM,0.65,-,second-order,situational,"Caregiver economic stress propagates into family interaction as a second-order effect","Bronfenbrenner (1977); Mani et al. (2013)"
FAM,FEEDBACK,0.80,+,mechanism,none,"Family interaction sequences are organised by circular causality","Selvini Palazzoli et al. (1980)"
FEEDBACK,FAM,0.75,+,mechanism,none,"Homeostatic feedback stabilises family interaction patterns, including symptomatic ones","Selvini Palazzoli et al. (1980); Szapocznik et al. (2012)"
FEEDBACK,FEEDBACK,0.60,+,self-loop,none,"Homeostatic self-maintenance: the system resists change to preserve its steady state","Selvini Palazzoli et al. (1980)"
FAM,PERSON_IF,0.70,+,transactional,none,"Supportive family interaction patterns sustain individual functioning","Szapocznik et al. (2012); Retzlaff et al. (2013)"
FAM,DIS_IF,0.60,-,disorder_prior,none,"Maladaptive, rigidly repeated family interaction patterns maintain the designated patient's symptoms","Szapocznik et al. (2012); Selvini Palazzoli et al. (1980)"
PEER,PERSON_IF,0.55,+,transactional,situational,"Community and peer social capital supports functioning and recovery","Jason & Bobak (2022)"
SCHWORK,PERSON_IF,0.55,+,transactional,none,"Achievement-setting demands and reinforcement shape functioning","Bronfenbrenner (1977)"
STATE,INEQ,0.60,-,policy,historical,"State economic and social policy raises or lowers the inequality gradient","Siegel (2008)"
STATE,SERV,0.70,+,policy,historical,"State provision (parens patriae) determines the coverage and quality of care systems","Siegel (2008); Jordans (2025)"
STATE,BOUNDARY,0.45,-,policy,situational,"State erosion of privacy threatens the integrity of the self","Siegel (2008)"
MAC_ECON,SOC_DETERM,0.75,+,transactional,none,"Material resource distribution drives the social-determinant pathways","Mani et al. (2013); Dickerson & Popli (2016)"
INEQ,SOC_DETERM,0.75,+,transactional,none,"Inequality and poverty are the upstream conditions of social-determinant transduction","Siegel (2008); Nagpaul et al. (2021)"
SOC_DETERM,PERSON_IF,0.70,-,social_determinant,dev_window,"Poverty and scarcity impose cognitive load that impedes cognitive function (~13 IQ-equivalent points; larger and cumulative in early childhood)","Mani et al. (2013); Dickerson & Popli (2016)"
SOC_DETERM,ME_IF,0.60,-,social_determinant,situational,"Monetary scarcity captures attention and biases appraisal toward financial concerns","Shah et al. (2018); Mani et al. (2013)"
SOC_DETERM,NEEDS_IF,0.65,-,social_determinant,none,"Food insecurity and deprivation frustrate existence and safety needs and mediate poverty's effect on mental health","Nagpaul et al. (2021)"
SOC_DETERM,DIS_IF,0.60,-,disorder_prior,dev_window,"Chronic socioeconomic adversity is an environmental class of disorder prior","Nagpaul et al. (2021); Liu & Li (2023)"
INEQ,DIS_IF,0.50,-,disorder_prior,none,"The inequality gradient patterns population-level risk for mental disorder","Fittipaldi et al. (2024); Siegel (2008)"
CULT,PERSON_IF,0.55,+,transactional,none,"Cultural cognitive maps supply the meaning and values that orient perception and behaviour","Laszlo & Krippner (1998)"
CULT,MICRO,0.55,+,nested,none,"Culture is reproduced as the implicit blueprint of each concrete setting","Bronfenbrenner (1977); Laszlo & Krippner (1998)"
MEDIA,CULT,0.50,+,transactional,none,"Media transmit and amplify macro-level ideology","Bronfenbrenner (1977)"
MACRO,MACRO,0.60,+,self-loop,historical,"Structural reproduction: macrosystems reproduce themselves, so persistent poverty exerts cumulative developmental effects","Laszlo & Krippner (1998); Dickerson & Popli (2016)"
SERV,LEVERAGE,0.70,+,mechanism,none,"Accessible, high-quality services are a principal leverage point in the care system","Jordans (2025)"
SERV,PERSON_IF,0.55,+,transactional,none,"Access to care supports functioning and buffers adversity","Jason & Bobak (2022); Jordans (2025)"
LEVERAGE,MICRO,0.65,+,mechanism,situational,"Well-placed systemic intervention restructures immediate settings","Retzlaff et al. (2013); Szapocznik et al. (2012)"
LEVERAGE,THER_IF,0.75,+,mechanism,none,"Leverage points are the operational target of systemic therapy and systems policy","Retzlaff et al. (2013); Jordans (2025)"
FAM,THER_IF,0.65,+,transactional,none,"The family interaction system is the direct target of systemic/family therapy","Szapocznik et al. (2012); Retzlaff et al. (2013)"
MICRO,ME_IF,0.60,+,transactional,none,"The immediate situation is the appraised stimulus field feeding the valuation core","Bronfenbrenner (1977); Shah et al. (2018)"
MICRO,NEEDS_IF,0.60,+,transactional,none,"Immediate settings supply or withhold the commodities the needs stratum requires","Jordans (2025)"
CHRONO,DEV_IF,0.70,+,transactional,historical,"Ecological transitions and historical time are the environment's contribution to development","Bronfenbrenner (1977)"
CHRONO,MACRO,0.50,+,nested,historical,"Historical time reshapes the societal blueprint (cohort and period effects)","Bronfenbrenner (1979)*"
PROX_PROC,DEV_IF,0.65,+,transactional,dev_window,"Proximal processes drive development and are gated by sensitive periods","Bronfenbrenner (1977)"
PERSON_IF,BOUNDARY,0.55,+,transactional,none,"The person acts back on the environment, emitting behaviour that perturbs the coupled medium","Maturana, Varela & Uribe (1974); Bronfenbrenner (1977)"
