node_id,label,level,parent,description,primary_source
P,General psychopathology (p),0,,Superordinate general factor capturing shared variance across all spectra,"Kotov et al. (2017); Kotov et al. (2021)"
SS_EMO,Emotional dysfunction superspectrum,1,P,"Broad superspectrum spanning internalizing and somatoform spectra","Watson et al. (2022)"
SS_PSY,Psychosis superspectrum,1,P,"Broad superspectrum spanning thought disorder and detachment spectra","Kotov et al. (2020)"
SS_EXT,Externalizing superspectrum,1,P,"Broad superspectrum spanning disinhibited and antagonistic externalizing","Krueger et al. (2021); Kotov et al. (2017)"
SP_INT,Internalizing,2,SS_EMO,"Spectrum of distress, fear, eating pathology, and related conditions","Kotov et al. (2017)"
SP_SOM,Somatoform,2,SS_EMO,"Spectrum of bodily distress, conversion, health anxiety (provisional placement)","Watson et al. (2022); Sellbom et al. (2021)"
SP_THO,Thought disorder,2,SS_PSY,"Spectrum of reality distortion, disorganization, mania-related psychoticism","Kotov et al. (2020)"
SP_DET,Detachment,2,SS_PSY,"Spectrum of social withdrawal, anhedonia, restricted affect","Kotov et al. (2020); Zimmermann et al. (2021)"
SP_DIS,Disinhibited externalizing,2,SS_EXT,"Spectrum of impulsivity, substance use, irresponsibility","Kotov et al. (2017); Mullins-Sweatt et al. (2019)"
SP_ANT,Antagonistic externalizing,2,SS_EXT,"Spectrum of aggression, callousness, manipulativeness, narcissism","Kotov et al. (2017)"
SP_NDV,Neurodevelopmental (provisional),2,P,"Provisional spectrum incl. ADHD-inattention, autism-related features, learning problems","Kotov et al. (2021); Stevanovic et al. (2024)"
SF_DIST,Distress subfactor,3,SP_INT,"MDD, GAD, dysthymia, PTSD-dysphoria","Kotov et al. (2017); Watson et al. (2022)"
SF_FEAR,Fear subfactor,3,SP_INT,"Panic, agoraphobia, specific phobia, social anxiety, OCD","Kotov et al. (2017); Watson et al. (2022)"
SF_EAT,Eating pathology subfactor,3,SP_INT,"Binge eating, restricting, purging, body dissatisfaction","Forbush et al. (2018); Watson et al. (2022)"
SF_SEX,Sexual problems subfactor,3,SP_INT,"Low desire, arousal and orgasmic difficulties (provisional)","Watson et al. (2022)"
SF_MAN,Mania subfactor,3,SP_THO,"Activation, grandiosity, decreased need for sleep; bridges internalizing and thought disorder","Kotov et al. (2020); Watson et al. (2022)"
SF_SUB,Substance abuse subfactor,3,SP_DIS,"Alcohol, cannabis, stimulant and other substance-related problems","Kotov et al. (2017); Krueger et al. (2021)"
SF_ASB,Antisocial behavior subfactor,3,SP_DIS,"Rule-breaking, conduct problems, irresponsibility (loads on both externalizing spectra)","Kotov et al. (2017)"
