node_id,label,level,parent,description,primary_source
T,Temperament system (global),0,,"Superordinate node: biologically rooted, early-appearing dispositions in reactivity and self-regulation; interfaces with all other UPG strata","Fu & Pérez-Edgar (2015); Rothbart (2011)"
BIO_GEN,Genetic/physiological substrate,1,T,"Genetic influences and psychophysiological systems (limbic/striatal reactivity, frontal regulation networks); interface to biology","Rettew & McKee (2005); Kagan & Snidman (1991)"
DIM_NA,Negative affectivity,1,T,"Reactive dimension: fear, anger/frustration, sadness, discomfort; convergent across all classic models","Rothbart (2011); Fu & Pérez-Edgar (2015)"
DIM_SU,Surgency / positive affectivity,1,T,"Reactive dimension: approach, activity, sociability, high-intensity pleasure","Rothbart (2011); Buss & Plomin (1984)"
DIM_EC,Effortful control,1,T,"Self-regulation dimension: attentional and inhibitory control modulating reactivity","Rothbart (2011); Fu & Pérez-Edgar (2015)"
TYPE,Configural types,1,T,"Person-centered profiles over the dimensions (easy/difficult/slow-to-warm; inhibited/uninhibited)","Thomas & Chess (1977)*; Kagan & Snidman (1991); Murillo et al. (2024)"
FIT,Goodness of fit,1,T,"Relational node: match between temperament and environmental demands/expectations","Chess & Thomas (1989); McClowry et al. (2008)"
CTX_CARE,Caregiving / environmental demands,1,T,"Parenting, school, and cultural expectations; interface node to Systems and Development strata","Chess & Thomas (1989); Fu & Pérez-Edgar (2015)"
OUT_ADJ,Maladjustment risk,1,T,"Internalizing/externalizing risk channel; interface node to the Disorder stratum (UDG)","Rettew & McKee (2005); Berdan et al. (2008)"
PERS_IF,Personality trait layer,1,T,"Interface node to the Personality stratum (UPerG): temperament as initial conditions of the Big Five hierarchy","Rothbart (2011); Caspi et al. (2005)*"
MECH_TXT,Temperament-by-temperament moderation,2,T,"One dimension moderates another's risk pathway (e.g., EC moderates BI-anxiety link)","Fu & Pérez-Edgar (2015)"
MECH_TXE,Temperament-by-environment moderation,2,T,"Environment moderates temperament-outcome links; includes differential susceptibility","Fu & Pérez-Edgar (2015); Belsky & Pluess (2009)*"
MECH_MAT,Regulatory maturation,2,T,"Developmental strengthening of frontal control networks over reactive systems","Fu & Pérez-Edgar (2015); Rothbart (2011)"
SUB_NA1,Fear,2,DIM_NA,"Threat-related distress and withdrawal; FFFS-linked","Rothbart (2011); Gomez et al. (2016)"
SUB_NA2,Anger/frustration,2,DIM_NA,"Blocked-goal distress; approach-linked negative affect","Rothbart (2011)"
SUB_NA3,Sadness,2,DIM_NA,"Loss- and disappointment-related lowered mood and energy","Rothbart (2011)"
SUB_NA4,Discomfort,2,DIM_NA,"Sensory-stimulation-related distress","Rothbart (2011)"
SUB_NA5,Soothability (reversed),2,DIM_NA,"Recovery rate from distress; loads negatively","Rothbart (1981)"
SUB_SU1,Activity level,2,DIM_SU,"Gross motor activity rate and intensity","Buss & Plomin (1984); Rothbart (1981)"
SUB_SU2,Sociability,2,DIM_SU,"Preference for being with others","Buss & Plomin (1984); Boer & Westenberg (1994)"
SUB_SU3,Approach / anticipation,2,DIM_SU,"Positive excitement toward expected rewards; BAS-linked","Rothbart (2011); Gomez et al. (2016)"
SUB_SU4,High-intensity pleasure,2,DIM_SU,"Enjoyment of high-stimulation contexts","Rothbart (2011)"
SUB_EC1,Attentional focusing,2,DIM_EC,"Capacity to sustain and shift attention deliberately","Rothbart (2011)"
SUB_EC2,Inhibitory control,2,DIM_EC,"Capacity to suppress prepotent responses","Rothbart (2011)"
SUB_EC3,Perceptual sensitivity,2,DIM_EC,"Detection of low-intensity environmental stimulation","Rothbart (2011)"
SUB_EC4,Low-intensity pleasure,2,DIM_EC,"Enjoyment of low-stimulation contexts","Rothbart (2011)"
SUB_TY1,Easy type,2,TYPE,"Regular, approaching, adaptable, mild, positive profile (NYLS)","Thomas & Chess (1977)*; Chess & Thomas (1989)"
SUB_TY2,Difficult type,2,TYPE,"Irregular, withdrawing, slow-adapting, intense, negative profile (NYLS)","Thomas & Chess (1977)*; Chess & Thomas (1989)"
SUB_TY3,Slow-to-warm-up type,2,TYPE,"Mildly negative initial withdrawal with slow adaptation (NYLS)","Thomas & Chess (1977)*; Chess & Thomas (1989)"
SUB_TY4,Inhibited / uninhibited,2,TYPE,"High- vs low-reactive infant biases toward novelty (Kagan)","Kagan & Snidman (1991); Kagan (2022)"
