source,target,weight,sign,type,evidence_basis,primary_source
N01,N02,0.90,+,sequential,"Triage routes into consent/safety framing before any other work","APA Presidential Task Force (2006); American Psychological Association (2017)"
N02,N03,0.90,+,sequential,"Safety and ethical frame is precondition for engagement","American Psychological Association (2017); Linehan (2015)"
N03,N04,0.85,+,sequential,"Alliance enables valid disclosure and assessment","Bordin (1979); Eells (2022)"
N04,N05,0.85,+,sequential,"Assessment data feed the formulation map","Eells (2022)"
N05,N06,0.85,+,sequential,"Formulation proposes candidate targets for goal agreement","Eells (2022); Tryon & Winograd (2011)"
N06,N07,0.90,+,sequential,"Agreed goals select and legitimate interventions","Tryon & Winograd (2011); Wampold & Imel (2015)"
N07,N08,0.80,+,sequential,"Interventions extend into between-session practice","Kazantzis et al. (2010)"
N08,N09,0.85,+,sequential,"Practice outcomes feed monitoring data","Kazantzis et al. (2010); Lambert et al. (2018)"
N09,N10,0.90,+,sequential,"Monitoring triggers review, especially for not-on-track cases","Lambert et al. (2018)"
N10,N05,0.85,+,feedback,"Review revises the formulation - the core recursive loop","Hayes & Hofmann (2018); Norcross & Wampold (2019)"
N10,N11,0.75,+,sequential,"Sustained on-track progress routes to consolidation","Norcross & Goldfried (2019)"
N03,N07,0.80,+,cross-cutting,"Alliance directly potentiates intervention effects (contextual model pathway)","Wampold (2015); Flückiger et al. (2018)"
N07,N03,0.60,+,cross-cutting,"Symptom relief and successful tasks strengthen alliance (reciprocal)","Flückiger et al. (2018); Wampold (2015)"
N09,N03,0.70,+,feedback,"Alliance monitoring feeds rupture repair","Lambert et al. (2018); Norcross & Wampold (2019)"
N09,N02,0.60,+,feedback,"Risk monitoring re-invokes safety procedures","Linehan (2015)"
N10,N06,0.65,+,feedback,"Review renegotiates goals","Tryon & Winograd (2011)"
N10,N07,0.70,+,feedback,"Review switches or doses interventions","Hayes & Hofmann (2018); Lambert et al. (2018)"
N11,N01,0.40,+,feedback,"Booster/re-entry path back to triage","Norcross & Goldfried (2019)"
N03,N03,0.60,+,autoregressive,"Alliance is self-stabilizing once formed (attractor-like dynamics); Axiom 4","Tschacher et al. (2015)"
N07,N07,0.40,+,autoregressive,"Skill acquisition compounds across sessions; Axiom 4","Kazantzis et al. (2010)"
N02,N07,-0.50,-,cross-cutting,"Safety constraints bound admissible interventions (inhibitory edge; Axiom 5)","American Psychological Association (2017); Linehan (2015)"
S0501,S0502,0.80,+,subgraph,"Presenting problem is precipitated by triggers","Eells (2022)"
S0502,S0503,0.85,+,subgraph,"Triggers activate emotion/body state","Eells (2022); Hayes & Hofmann (2018)"
S0503,S0504,0.80,+,subgraph,"Emotion recruits congruent meaning/schema","Eells (2022)"
S0504,S0505,0.80,+,subgraph,"Appraisal drives action/avoidance","Hayes & Hofmann (2018)"
S0505,S0506,0.85,+,subgraph,"Behavior produces consequences","Eells (2022)"
S0506,S0501,0.75,+,subgraph-feedback,"Consequences maintain the presenting problem - the maintaining loop","Eells (2022); Hayes & Hofmann (2018)"
S0507,S0502,0.60,+,subgraph,"Relational/contextual inputs shape triggers","Norcross & Goldfried (2019)"
S0507,S0504,0.55,+,subgraph,"Context shapes meanings","Norcross & Goldfried (2019)"
S0508,S0506,-0.55,-,subgraph,"Protective factors dampen consequences (inhibitory; Axiom 5)","Eells (2022)"
