node_id,label,level,parent,description,primary_source
N,Needs system (global),0,,"Superordinate node: the person's organized system of necessities whose satisfaction is required for integrity, growth, and wellbeing","Sohrabi et al. (2021); Ryan & Deci (2000)"
NEED_PHY,Physiological / existence,1,N,"Homeostatic necessities: nutrition, rest, energy regulation","Maslow (1943)*; Kenrick et al. (2010)"
NEED_SAF,Safety / self-protection,1,N,"Physical security, predictability, and order","Maslow (1943)*; Kenrick et al. (2010); Dweck (2017)*"
NEED_REL,Relatedness / belonging,1,N,"Attachment, affiliation, intimacy, pair-bond and care lines","Ryan & Deci (2000); Baumeister & Leary (1995)*; Kenrick et al. (2010)"
NEED_EST,Esteem / status,1,N,"Social standing, prestige, and self-regard","Maslow (1943)*; Kenrick et al. (2010); McClelland (1961)*"
NEED_COM,Competence / achievement,1,N,"Mastery, effectance, and achievement striving","Ryan & Deci (2000); McClelland (1961)*"
NEED_AUT,Autonomy / self-determination,1,N,"Volition, self-endorsement, self-congruent regulation","Ryan & Deci (2000)"
NEED_MEA,Meaning / growth,1,N,"Purpose, coherence, self-actualization and growth orientation","Tønnesvang (2025); Maslow (1943)*"
SAT,Satisfaction channel,1,N,"Aggregate state of need fulfillment across domains","Ryan & Deci (2000); Vansteenkiste et al. (2020)*"
FRU,Frustration channel,1,N,"Aggregate state of active need thwarting; not the mere absence of satisfaction","Vansteenkiste & Ryan (2013)*; Vansteenkiste et al. (2020)*"
CTX_ENV,Environmental supports/thwarts,1,N,"Contexts that support or thwart needs; interface node to the Systems stratum","Ryan & Deci (2000); Skues et al. (2025)"
OUT_WB,Wellbeing / flourishing,1,N,"Vitality, intrinsic motivation, growth outcomes","Ryan & Deci (2000); Dunton et al. (2023)"
OUT_IB,Ill-being / defensiveness,1,N,"Defensive functioning and psychopathology risk; interface node to the Disorder stratum (UDG)","Vansteenkiste & Ryan (2013)*; Rettew & McKee-type risk channel"
MOT_IF,Motivation & goal layer,1,N,"Interface node to the Motivation & Emotion stratum (Batch G): needs energize and direct goals","Szalma (2020); Güss et al. (2017)"
PERS_IF,Personality layer,1,N,"Interface node to the Personality stratum (UPerG): need strengths and satisfaction covary with traits","Montag et al. (2020); McClelland (1961)*"
MECH_PRI,Dynamic prioritization,2,N,"Deficit-, situation-, and life-stage-dependent salience ordering of needs (no fixed ladder)","Kenrick et al. (2010); Montag et al. (2020)"
MECH_STR,Individual need strength,2,N,"Acquired dispositional differences in need intensity (nAch, nAff, nPow)","McClelland (1961)*; Rybnicek et al. (2019)"
MECH_SUB,Substitution / compensation,2,N,"Compensatory pursuits when a need is blocked (need substitutes, consumer surrogates)","Vansteenkiste & Ryan (2013)*; Ward & Lasen (2009)"
SUB_PHY1,Homeostatic regulation,2,NEED_PHY,"Hunger, thirst, thermoregulation","Maslow (1943)*; Kenrick et al. (2010)"
SUB_PHY2,Rest / energy,2,NEED_PHY,"Sleep and recovery","Maslow (1943)*"
SUB_SAF1,Physical safety,2,NEED_SAF,"Protection from threat and harm","Kenrick et al. (2010)"
SUB_SAF2,Predictability / order,2,NEED_SAF,"Stable, forecastable environment (a basic need in Dweck's criteria)","Dweck (2017)*"
SUB_REL1,Attachment / intimacy,2,NEED_REL,"Close bonds and intimacy","Baumeister & Leary (1995)*; Ryan & Deci (2000)"
SUB_REL2,Belonging / affiliation,2,NEED_REL,"Group membership and affiliation (nAff)","Baumeister & Leary (1995)*; McClelland (1961)*"
SUB_REL3,Mating / care line,2,NEED_REL,"Mate acquisition, mate retention, parenting (evolutionary overlay)","Kenrick et al. (2010)"
SUB_EST1,Status / prestige,2,NEED_EST,"Standing in social hierarchies (nPow adjacency)","Kenrick et al. (2010); McClelland (1961)*"
SUB_EST2,Self-esteem,2,NEED_EST,"Self-evaluative regard","Maslow (1943)*"
SUB_COM1,Mastery / effectance,2,NEED_COM,"Experienced effectiveness in interaction","Ryan & Deci (2000)"
SUB_COM2,Achievement striving,2,NEED_COM,"Standard-of-excellence pursuit (nAch)","McClelland (1961)*; Siok et al. (2023)"
SUB_AUT1,Volition,2,NEED_AUT,"Acting with a sense of choice and self-endorsement","Ryan & Deci (2000)"
SUB_AUT2,Self-congruence,2,NEED_AUT,"Alignment of action with values and identity","Ryan & Deci (2000); Tønnesvang (2025)"
SUB_MEA1,Purpose / coherence,2,NEED_MEA,"Life direction and intelligibility","Tønnesvang (2025)"
SUB_MEA2,Growth / self-actualization,2,NEED_MEA,"Realization of capacities","Maslow (1943)*; McLeod (2025)"
