source_id,citation,type,evidence_role,supports,does_not_support,location_or_url,status
BGR003,"Prochaska, J. O., & Norcross, J. C. (2013). Systems of psychotherapy: A transtheoretical analysis (8th ed.).",textbook/comparative synthesis,Clinical workflow and therapy-system coverage,"plural therapy systems; transtheoretical comparison","UPG effectiveness; causal edge weights","sources-part-1/11. Base General References/03. Systems of Psychotherapy_A Transtheoretical Analysis.pdf",local reviewed
BGR005,"Boland, R. J., Verduin, M. L., & Ruiz, P. (Eds.). (2022). Kaplan & Sadock's synopsis of psychiatry (12th ed.).",clinical textbook,Psychiatric assessment and treatment context,"medical and psychiatric assessment; differential pathways","automated UPG diagnosis or prescribing","sources-part-1/11. Base General References/05. کتاب-اصلی-کاپلان-و-سادوک.pdf",local reviewed
BGR011,"Kress, V. E., Seligman, L., & Reichenberg, L. W. (2021). Theories of counseling and psychotherapy (5th ed.).",textbook/comparative synthesis,Therapist-facing applications,"theory-specific strategies and case application","a single universally superior therapy","sources-part-1/11. Base General References/12. theories-of-counseling-and-psychotherapy-systems-strategies-and-skills-rental-edition-5nbsped-0134460863-9780134460864_compress.pdf",local reviewed
PAP001,"Strauss et al. (2021). Negative effects of psychotherapy: Estimating the prevalence in a random national sample.",empirical prevalence study,Safety and adverse-event monitoring,"psychotherapy can have negative effects that require monitoring","a universal adverse-event rate for every setting","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP002,"Strauss, Rosendahl, & Klatte (2026). Adverse experiences in psychological treatments: Where do we stand?",review,Safety taxonomy and monitoring,"current adverse-experience concepts and assessment gaps","UPG-specific safety effectiveness","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP003,"Vybíral et al. (2024). Negative experiences in psychotherapy from clients' perspective: A qualitative meta-analysis.",qualitative meta-analysis,Patient-centered harm monitoring,"client-reported negative-experience categories","incidence or causality for an individual","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP006,"Cook, Schwartz, & Kaslow (2017). Evidence-based psychotherapy: Advantages and challenges.",review,Evidence-based practice,"integration of evidence with implementation and clinical expertise","UPG superiority","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP007,"Beutler et al. (2016). Selecting the most appropriate treatment for each patient.",theoretical/treatment selection,Personalized treatment hypotheses,"patient-treatment fit as a research and clinical problem","validated UPG treatment selection","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP012,"Wampold (2015). How important are the common factors in psychotherapy? An update.",review,Relationship and common-factor layer,"alliance, expectations, empathy, therapist/context effects","exclusive causal sufficiency of common factors","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP014,"Tschacher, Haken, & Kyselo (2015). Alliance: A common factor of psychotherapy modeled by structural theory.",theory/mathematical model,Dynamical formulation of alliance,"alliance can be represented dynamically","validated UPG alliance edges","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
PAP015,"Cuijpers, Reijnders, & Huibers (2019). The role of common factors in psychotherapy outcomes.",critical review,Causal restraint,"neither common nor specific factors automatically qualify as established mechanisms","dismissal of either common or specific factors","sources-part-1/05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry",local registered
CMP001,"Anticevic, A., & Murray, J. D. (Eds.). (2018). Computational psychiatry: Mathematical modeling of mental illness.",edited volume,Computational psychiatry foundation,"formal models of psychiatric processes","whole-UPG validity","sources-part-1/04. About Computational & Mathematical Psychology/01. Computational Psychiatry.pdf",local reviewed
CMP008,"Liebovitch, Peluso, Norman, Su, & Gottman (2011). Mathematical model of the dynamics of psychotherapy.",mathematical model,Dynamical therapy precedent,"therapist-client interaction can be modeled dynamically","clinical effectiveness of UPG","sources-part-1/04. About Computational & Mathematical Psychology/08. Mathematical model of the dynamics of psychotherapy.pdf",local reviewed
CMP009,"Schiepek, Aas, & Viol (2016). The mathematics of psychotherapy: A nonlinear model of change dynamics.",mathematical model,Nonlinear change precedent,"bifurcation and nonlinear psychotherapy-process modeling","UPG novelty as the first dynamic therapy model","sources-part-1/04. About Computational & Mathematical Psychology/09. The Mathematics of Psychotherapy_A Nonlinear Model of Change Dynamics.pdf",local reviewed
CMP010,"Moutoussis, Shahar, Hauser, & Dolan (2017). Computation in psychotherapy, or how computational psychiatry can aid learning-based psychological therapies.",theory/research article,Mechanistic therapy bridge,"formal learning and belief-updating accounts of therapy","a complete person model","sources-part-1/04. About Computational & Mathematical Psychology/10. Computation in Psychotherapy, or How Computational Psychiatry Can Aid Learning-Based Psychological Therapies.pdf",local reviewed
CMP011,"Cioffi et al. (2022). Computational methods in psychotherapy: A scoping review.",scoping review,Prior-art boundary,"computational psychotherapy already includes graphs, neural networks, prediction, and complex systems","field-first novelty for UPG components","sources-part-1/04. About Computational & Mathematical Psychology/11. Computational Methods in Psychotherapy A Scoping Review.pdf",local reviewed
TRF008,"Veličković et al. (2018). Graph attention networks.",conference paper,Masked graph estimator architecture,"neighborhood attention on graph support","psychological validity of learned edges","sources-part-2/12. Transformers/01. Graph Transformers",local reviewed
TRF013,"Lim, Arık, Loeff, & Pfister (2021). Temporal fusion transformers for interpretable multi-horizon time series forecasting.",journal article,Forecasting design precedent,"multi-horizon time-series forecasting and gating","clinical calibration of UPG forecasts","sources-part-2/12. Transformers/02. Time-series and Spatiotemporal Transformers",local reviewed
TRF016,"Nie, Nguyen, Sinthong, & Kalagnanam (2023). A time series is worth 64 words: Long-term forecasting with transformers.",conference paper,Channel-independent comparator,"channel-independent time-series transformer design","adequacy of uncoupled psychology models","sources-part-2/12. Transformers/02. Time-series and Spatiotemporal Transformers",local reviewed
TRF030,"Press, Smith, & Lewis (2022). Train short, test long: Attention with linear biases enables input length extrapolation.",conference paper,Temporal-position mechanism,"ALiBi length bias","clinical extrapolation beyond validation data","sources-part-2/12. Transformers/04. Positional, Normalization, Gating, and Adaptation",local reviewed
TRF031,"Zhang & Sennrich (2019). Root mean square layer normalization.",conference paper,Training mechanism,"RMSNorm implementation choice","clinical validity","sources-part-2/12. Transformers/04. Positional, Normalization, Gating, and Adaptation",local reviewed
TRF032,"Shazeer (2020). GLU variants improve transformer.",preprint,Training mechanism,"SwiGLU/GLU feed-forward design","clinical validity","sources-part-2/12. Transformers/04. Positional, Normalization, Gating, and Adaptation",local reviewed
DATA-JOHNSON-2014,"Johnson, J. A. (2014). Measuring thirty facets of the Five Factor Model with a 120-item public domain inventory. Journal of Research in Personality, 51, 78–89. https://doi.org/10.1016/j.jrp.2014.05.003",empirical instrument study,PER retrospective audit,"IPIP-NEO-120 scoring and published reliability targets","temporal edges or clinical diagnosis","data/retrospective_v1/reference_pdfs/Johnson2014_IPIP-NEO-120.pdf",local reviewed/reanalyzed
DATA-KOSSAKOWSKI-2017,"Kossakowski, Groot, Haslbeck, Borsboom, & Wichers (2017). Data from 'Critical slowing down as a personalized early warning signal for depression.' Journal of Open Psychology Data, 5, 1. https://doi.org/10.5334/jopd.29",data paper/N=1 ESM,ME/DIS retrospective audit,"intensive single-person ESM feasibility","population generalization, medication causality, whole-UPG fit","data/retrospective_v1/reference_pdfs/Kossakowski2017_datapaper_uva.pdf",local reviewed/reanalyzed
EXT-WHO-AI-2021,"World Health Organization. (2021). Ethics and governance of artificial intelligence for health. ISBN 978-92-4-002920-0.",international guidance,Governance baseline,"human rights, accountability, six consensus principles","regulatory clearance or product effectiveness",https://www.who.int/publications/i/item/9789240029200,external current check
EXT-FDA-CDS-2026,"U.S. Food and Drug Administration. (2026). Clinical decision support software: Guidance for industry and FDA staff.",regulatory guidance,Decision-support boundary,"current U.S. distinction between non-device and device CDS; patient/caregiver software remains within relevant digital-health policies","a jurisdiction-independent legal classification",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-decision-support-software,external current check
EXT-IMDRF-GMLP-2025,"International Medical Device Regulators Forum. (2025). Good machine learning practice for medical device development: Guiding principles.",international regulatory principles,Total-product-lifecycle controls,"ten GMLP principles for safe, effective, high-quality AI/ML medical devices","UPG conformity or clearance",https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles,external current check
EXT-DECIDE-AI-2022,"Vasey et al. (2022). Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI. Nature Medicine, 28, 924–933. https://doi.org/10.1038/s41591-022-01772-9",consensus reporting guideline,Early clinical evaluation,"small-scale clinical performance, safety, and human-factor evaluation before large trials","effectiveness without a trial",https://doi.org/10.1038/s41591-022-01772-9,external primary
EXT-TRIPODAI-2024,"Collins et al. (2024). TRIPOD+AI statement: Updated guidance for reporting clinical prediction models that use regression or machine learning methods. BMJ, 385, e078378. https://doi.org/10.1136/bmj-2023-078378",reporting guideline,Prediction-model reporting,"transparent development and validation reporting","model performance or low risk of bias",https://doi.org/10.1136/bmj-2023-078378,external primary
EXT-SPIRITAI-2020,"Cruz Rivera et al. (2020). Guidelines for clinical trial protocols for interventions involving artificial intelligence: SPIRIT-AI extension. Nature Medicine, 26, 1351–1363. https://doi.org/10.1038/s41591-020-1037-7",reporting guideline,Prospective trial protocol,"AI-specific protocol reporting","trial success",https://doi.org/10.1038/s41591-020-1037-7,external primary
EXT-CONSORTAI-2020,"Liu et al. (2020). Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: CONSORT-AI extension. Nature Medicine, 26, 1364–1374. https://doi.org/10.1038/s41591-020-1034-x",reporting guideline,Prospective trial report,"AI-specific trial reporting","trial success",https://doi.org/10.1038/s41591-020-1034-x,external primary
