source,target,weight,sign,type,gate,evidence_basis,primary_source
T,DIM_NA,0.85,+,hierarchical,none,"Temperament decomposes into convergent broad dimensions","Fu & Pérez-Edgar (2015); Rothbart (2011)"
T,DIM_SU,0.85,+,hierarchical,none,"Temperament decomposes into convergent broad dimensions","Fu & Pérez-Edgar (2015); Rothbart (2011)"
T,DIM_EC,0.85,+,hierarchical,none,"Temperament decomposes into convergent broad dimensions","Fu & Pérez-Edgar (2015); Rothbart (2011)"
T,TYPE,0.70,+,hierarchical,none,"Person-centered profiles are configurations over the dimensions","Murillo et al. (2024); Thomas & Chess (1977)*"
DIM_NA,SUB_NA1,0.75,+,hierarchical,none,"Dimension-facet structure (IBQ/CBQ tradition)","Rothbart (1981); Rothbart (2011)"
DIM_NA,SUB_NA2,0.75,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_NA,SUB_NA3,0.70,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_NA,SUB_NA4,0.70,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_NA,SUB_NA5,0.65,-,hierarchical,none,"Soothability loads negatively on negative affectivity","Rothbart (1981)"
DIM_SU,SUB_SU1,0.70,+,hierarchical,none,"Dimension-facet structure; EAS activity","Buss & Plomin (1984); Rothbart (2011)"
DIM_SU,SUB_SU2,0.70,+,hierarchical,none,"Dimension-facet structure; EAS sociability","Buss & Plomin (1984); Boer & Westenberg (1994)"
DIM_SU,SUB_SU3,0.75,+,hierarchical,none,"Dimension-facet structure; BAS-linked approach","Rothbart (2011); Gomez et al. (2016)"
DIM_SU,SUB_SU4,0.70,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_EC,SUB_EC1,0.75,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_EC,SUB_EC2,0.75,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_EC,SUB_EC3,0.60,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
DIM_EC,SUB_EC4,0.60,+,hierarchical,none,"Dimension-facet structure","Rothbart (2011)"
TYPE,SUB_TY1,0.75,+,hierarchical,none,"NYLS typology","Thomas & Chess (1977)*; Chess & Thomas (1989)"
TYPE,SUB_TY2,0.75,+,hierarchical,none,"NYLS typology","Thomas & Chess (1977)*; Chess & Thomas (1989)"
TYPE,SUB_TY3,0.70,+,hierarchical,none,"NYLS typology","Thomas & Chess (1977)*; Chess & Thomas (1989)"
TYPE,SUB_TY4,0.75,+,hierarchical,none,"Kagan reactive typology","Kagan & Snidman (1991); Kagan (2022)"
BIO_GEN,DIM_NA,0.65,+,cascade,childhood-peak,"Moderate genetic influence; limbic reactivity substrate","Rettew & McKee (2005); Kagan & Snidman (1991)"
BIO_GEN,DIM_SU,0.65,+,cascade,childhood-peak,"Moderate genetic influence on approach/activity systems","Rettew & McKee (2005); Buss & Plomin (1984)"
BIO_GEN,DIM_EC,0.60,+,cascade,maturation-gated,"Frontal regulatory networks mature through childhood","Fu & Pérez-Edgar (2015); Rothbart (2011)"
MECH_MAT,DIM_EC,0.60,+,cascade,childhood-adolescence,"Effortful control strengthens with regulatory network maturation","Fu & Pérez-Edgar (2015); Rothbart (2011)"
DIM_EC,DIM_NA,0.55,-,cascade,maturation-gated,"Effortful control downregulates negative reactivity (Axiom 5)","Rothbart (2011); Fu & Pérez-Edgar (2015)"
DIM_EC,DIM_SU,0.35,-,cascade,maturation-gated,"Inhibitory control tempers approach in high-risk contexts","Rothbart (2011)"
DIM_NA,DIM_EC,0.35,-,cascade,none,"High reactive distress interferes with regulatory deployment","Fu & Pérez-Edgar (2015)"
DIM_NA,OUT_ADJ,0.60,+,cascade,none,"Negative emotionality linked to internalizing and many disorders","Rettew & McKee (2005)"
DIM_SU,OUT_ADJ,0.35,+,cascade,childhood,"High surgency predicts externalizing when unmoderated","Berdan et al. (2008)"
DIM_EC,OUT_ADJ,0.55,-,cascade,none,"Low inhibitory control linked to broad psychopathology risk (protective when high)","Rettew & McKee (2005)"
MECH_TXT,OUT_ADJ,0.45,-,moderation,none,"EC moderates the BI-to-anxiety pathway (temperament x temperament)","Fu & Pérez-Edgar (2015)"
DIM_EC,MECH_TXT,0.55,+,cascade,none,"Effortful control supplies the moderating capacity","Fu & Pérez-Edgar (2015)"
CTX_CARE,MECH_TXE,0.55,+,cascade,none,"Environmental quality supplies the moderating input","Fu & Pérez-Edgar (2015); Belsky & Pluess (2009)*"
MECH_TXE,OUT_ADJ,0.50,-,moderation,none,"Supportive contexts dampen temperament-risk links; susceptible children benefit most","Belsky & Pluess (2009)*; Berdan et al. (2008)"
DIM_NA,FIT,0.55,-,transactional,none,"Demanding temperament strains fit with environmental expectations","Chess & Thomas (1989); McClowry et al. (2008)"
DIM_SU,FIT,0.35,-,transactional,none,"High activity/approach can mismatch low-stimulation settings","McClowry et al. (2008); Berdan et al. (2008)"
CTX_CARE,FIT,0.65,+,transactional,none,"Demands and expectations are the other pole of fit","Chess & Thomas (1989)"
FIT,OUT_ADJ,0.60,-,cascade,none,"Goodness of fit predicts adaptive outcome; poorness of fit predicts disorder risk","Chess & Thomas (1989); McClowry et al. (2008)"
