claim_id,claim,evidence_level,status,source_ids,permitted_wording,prohibited_inference
K-FORMAL-01,"The versioned Great Graph contains 253 nodes and 522 edges across eight strata, with 35 cross-stratum edges, 20 self-loops, and 33 negative edges.",E0 formal/computational,supported,"Batch-J registries; reproduce.py","The current versioned artifact has this census.","The census proves psychological truth or clinical validity."
K-FORMAL-02,"The current graph implementation satisfies all five registered structural axiom tests and has zero encapsulation violations.",E0 formal/computational,supported,"Batch-J registries; test suite","The implementation passes its declared formal tests.","All possible semantic contradictions have been eliminated."
K-FORMAL-03,"A person, an observation, a latent state, a standing condition, a theory prior, a personalized temporal operator, a context input, and a control input are distinct typed objects.",E0 operational definition,adopted,"Batch I; Batch J","The application protocol requires these separations.","The latent objects are identifiable from any available data."
K-FORMAL-04,"Identical versioned admissible inputs and fixed model state return identical numerical output.",E0 software contract,supported,"95-test run; deterministic seeds","The computational layer is deterministic under the frozen contract.","Human meaning, values, or clinical judgment are deterministic."
K-SYN-01,"The masked GAT improves edge RMSE, person-deviation correlation, and spectral-radius error over all Step-4 baselines in 12/12 uploaded synthetic benchmark cells.",E1 synthetic held-out,supported,"TRF008; fresh GAT evaluation","The estimator recovers these properties within the simulator family.","It recovers real patient mechanisms."
K-SYN-02,"The temporal transformer beats persistence at one-step forecasting in all three uploaded synthetic populations.",E1 synthetic held-out,supported,"TRF013; TRF016; TRF030; fresh/archived checkpoint evaluation","The forecaster beats persistence in-family on held-out simulated persons.","It is clinically calibrated or prognostic."
K-SYN-03,"Synthetic early-warning AUCs are high.",E1 synthetic held-out,supported,"forecast_results.json","Internal event definitions are learnable under simulator assumptions.","A clinical relapse alarm is validated."
K-REAL-PER-01,"IPIP domain reliability ranges from .817 to .905 in 619,150 records.",E2 retrospective cross-sectional,supported,"DATA-JOHNSON-2014; real_data_summary.json","This archive supports reliable five-domain PER scoring.","Reliability establishes validity, causality, or a health scalar."
K-REAL-PER-02,"Five varimax components recover the intended primary domain for 25 of 30 IPIP facets.",E2 retrospective cross-sectional,mixed,"DATA-JOHNSON-2014; ipip_facet_loadings.csv","Most, but not all, facet primary loadings align with the intended domain.","The 30-facet hierarchy is exactly recovered."
K-REAL-ME-01,"A transparent 20-item ME load correlates with concurrent 7-day weekly depression in the single-person ESM archive (rho=.625; circular-block interval approximately [.403,.800]; n=27 anchors).",E2 retrospective N=1,supported narrowly,"DATA-KOSSAKOWSKI-2017; real_data_summary.json","The derived ME load has concurrent validity evidence in this person.","Population validity, diagnosis, or causal direction."
K-REAL-ME-02,"The 21-day AR(1) and variance indicators predict next-week depression change in the single-person archive.",E2 retrospective N=1,not supported,"DATA-KOSSAKOWSKI-2017; real_data_summary.json","Neither indicator was supported in this analysis; intervals include zero.","Critical slowing down is universally absent or present."
K-REAL-ME-03,"The expanding-window ridge model improves on persistence in the single-person archive.",E2 rolling-origin N=1,falsified,"DATA-KOSSAKOWSKI-2017; kossakowski_rolling_forecasts.csv","The candidate model loses to persistence on MAE and RMSE.","No richer real-data model can work."
K-CLIN-01,"The complete UPG can diagnose mental disorders.",E3+ target-setting diagnostic validation required,not established,"EXT-TRIPODAI-2024; EXT-DECIDE-AI-2022","UPG may organize hypotheses and established diagnostic evidence; formal diagnostic performance remains untested.","Validated automated diagnosis."
K-CLIN-02,"UPG-guided treatment improves outcomes or cures disorders.",E4 pragmatic randomized trial required,not established,"PAP006; PAP007; EXT-SPIRITAI-2020; EXT-CONSORTAI-2020","Clinical effectiveness and cure claims require prospective comparative trials and durable outcomes.","Cure, superiority, or prescribing authority."
K-APP-01,"The UPG can presently serve as a transparent collaborative formulation and research protocol when outputs are restricted by data sufficiency.",E0 design plus E1/E2 feasibility,provisional,"BGR003; BGR011; PAP006; CMP011","The protocol can structure assessment, hypotheses, provenance, and monitoring.","The protocol itself improves care."
K-SAFETY-01,"Psychotherapy adverse effects and client-reported negative experiences must be actively monitored.",E5 review plus empirical evidence,supported,"PAP001; PAP002; PAP003","Every intervention plan includes benefit, burden, deterioration, and adverse-experience monitoring.","A graph score replaces clinical safety procedures."
K-GOV-01,"Any clinical software implementation requires lifecycle governance, human-factor evaluation, subgroup calibration, monitoring, and jurisdiction-specific regulatory review.",guidance/consensus,required for translation,"EXT-WHO-AI-2021; EXT-FDA-CDS-2026; EXT-IMDRF-GMLP-2025; EXT-DECIDE-AI-2022","These controls define the translation pathway.","Current research code is cleared or compliant."
K-EQUITY-01,"All-age or universal scope is an empirical transportability claim, not an axiomatically guaranteed property.",E3 multisite/subgroup validation required,not established,"EXT-WHO-AI-2021; EXT-IMDRF-GMLP-2025","Use age-, language-, culture-, disability-, and neurotype-appropriate measurement and test invariance/calibration.","One model version is valid for every population."
K-GODEL-01,"Gödel's incompleteness theorems add no patient-level diagnostic or treatment rule in Batch K.",logical scope judgment,adopted,"Batch I; Batch J; Gödel 1931","The operational consequence is a versioned open theory that can return unknown.","Individual uncertainty is proved by Gödel."
