source,target,weight,sign,type,evidence_basis,primary_source
P,SS_EMO,0.90,+,hierarchical,"General factor loading; emotional dysfunction is the largest superspectrum","Kotov et al. (2021); Watson et al. (2022)"
P,SS_PSY,0.75,+,hierarchical,"General factor loading on psychosis superspectrum","Kotov et al. (2020); Kotov et al. (2021)"
P,SS_EXT,0.70,+,hierarchical,"General factor loading on externalizing superspectrum","Kotov et al. (2021)"
P,SP_NDV,0.60,+,hierarchical,"Provisional; neurodevelopmental spectrum relates broadly to p in youth samples","Kotov et al. (2021); Stevanovic et al. (2024)"
SS_EMO,SP_INT,0.90,+,hierarchical,"Internalizing is core of emotional dysfunction superspectrum","Watson et al. (2022)"
SS_EMO,SP_SOM,0.70,+,hierarchical,"Somatoform placement within emotional dysfunction; provisional","Watson et al. (2022); Sellbom et al. (2021)"
SS_PSY,SP_THO,0.85,+,hierarchical,"Thought disorder is core of psychosis superspectrum","Kotov et al. (2020)"
SS_PSY,SP_DET,0.75,+,hierarchical,"Detachment loads on psychosis superspectrum","Kotov et al. (2020)"
SS_EXT,SP_DIS,0.85,+,hierarchical,"Disinhibition core of externalizing","Kotov et al. (2017); Krueger et al. (2021)"
SS_EXT,SP_ANT,0.80,+,hierarchical,"Antagonism core of externalizing","Kotov et al. (2017)"
SP_INT,SF_DIST,0.90,+,hierarchical,"Distress subfactor within internalizing","Kotov et al. (2017)"
SP_INT,SF_FEAR,0.80,+,hierarchical,"Fear subfactor within internalizing","Kotov et al. (2017)"
SP_INT,SF_EAT,0.60,+,hierarchical,"Eating pathology within internalizing","Forbush et al. (2018)"
SP_INT,SF_SEX,0.45,+,hierarchical,"Sexual problems provisional within internalizing","Watson et al. (2022)"
SP_THO,SF_MAN,0.60,+,hierarchical,"Mania loads on thought disorder","Kotov et al. (2020)"
SP_DIS,SF_SUB,0.80,+,hierarchical,"Substance abuse within disinhibited externalizing","Kotov et al. (2017)"
SP_DIS,SF_ASB,0.75,+,hierarchical,"Antisocial behavior within disinhibited externalizing","Kotov et al. (2017)"
SP_INT,SP_SOM,0.60,+,cross-spectral,"Meta-analytic association between internalizing and somatoform symptoms","Watson et al. (2022); Kotov et al. (2017)"
SP_INT,SP_DET,0.50,+,cross-spectral,"Internalizing-detachment covariance (anhedonia, withdrawal overlap)","Kotov et al. (2020); Zimmermann et al. (2021)"
SP_INT,SP_THO,0.45,+,cross-spectral,"Internalizing-thought disorder association across cohorts","Kotov et al. (2020)"
SP_INT,SP_DIS,0.40,+,cross-spectral,"Internalizing-disinhibition covariance (distress-driven impulsivity)","Kotov et al. (2017)"
SP_THO,SP_DET,0.55,+,cross-spectral,"Positive-negative symptom covariance within psychosis superspectrum","Kotov et al. (2020)"
SP_DIS,SP_ANT,0.70,+,cross-spectral,"Strongest inter-spectral association; shared externalizing liability","Kotov et al. (2017); Krueger et al. (2021)"
SP_DET,SP_ANT,0.35,+,cross-spectral,"Detachment-antagonism link via callous-interpersonal features","Kotov et al. (2020)"
SP_SOM,SP_THO,0.30,+,cross-spectral,"Somatic and psychotic symptom covariance (conversion-dissociation pathway)","Ross (2015); Watson et al. (2022)"
SP_NDV,SP_DIS,0.45,+,cross-spectral,"ADHD features covary with disinhibited externalizing","Stevanovic et al. (2024); Kotov et al. (2021)"
SP_NDV,SP_DET,0.40,+,cross-spectral,"Autism-related features covary with detachment","Kotov et al. (2021)"
SF_MAN,SF_DIST,0.45,+,cross-subfactor,"Bipolar bridge: mania covaries with distress/depression","Watson et al. (2022); Kotov et al. (2020)"
SF_DIST,SF_FEAR,0.70,+,cross-subfactor,"Distress-fear covariance within internalizing","Kotov et al. (2017); Watson et al. (2022)"
SF_SUB,SF_ASB,0.60,+,cross-subfactor,"Substance-antisocial covariance within externalizing","Kotov et al. (2017)"
SP_INT,SP_INT,0.30,+,autoregressive,"Self-maintaining internalizing loops (rumination-distress feedback); axiom 4","Borsboom (2017)*"
SP_DIS,SP_DIS,0.25,+,autoregressive,"Self-maintaining externalizing loops (use-consequence-stress feedback); axiom 4","Borsboom (2017)*"
