source,target,weight,sign,type,gate,provenance,evidence_basis,primary_source
TEM,PER,0.65,+,cascade,infancy-to-adulthood,"E: DIM_NA/DIM_SU/DIM_EC→PERS_IF (0.65 each); D: TEMP_IN→LAYER_TRT (0.70)","Temperament dimensions are the developmental cores of the Big Five (NA→neuroticism, surgency→extraversion, effortful control→conscientiousness)","Rothbart (2011); Caspi et al. (2005)*; Corr & Matthews (2009)"
TEM,ME,0.60,+,cascade,none,"G: TEMP_IF→BAS (0.60), TEMP_IF→AVD (0.60), TEMP_IF→SUB_EMO1 (0.55)","Reactivity set-points calibrate the approach/avoidance channels and core-affect baselines","Panksepp (2011)*; Berridge (2018)"
TEM,DIS,0.55,+,disorder_prior,none,"E: DIM_NA→OUT_ADJ (0.60), DIM_EC→OUT_ADJ (−0.55, protective), FIT→OUT_ADJ (−0.60); OUT_ADJ is E's disorder interface","First person-specific disorder prior; the protective (signed) content of effortful control and goodness of fit is carried in the subgraph","Rettew & McKee (2005); Chess & Thomas (1989)"
TEM,DEV,0.45,+,transactional,infancy-peak,"E: DIM_NA→CTX_CARE (0.45); C: DOM_EMO→CTX_CARE (0.50)","Evocative transaction: child temperament reshapes the caregiving context that drives development","Sameroff (2010)*; Chess & Thomas (1989)"
DEV,TEM,0.45,+,parametric,maturation-gated,"E: MECH_MAT→DIM_EC (0.60); age-increasing stability gates on all DIM self-loops","Maturation writes the regulatory dimension and sets the stability gates of temperament expression","Fu & Pérez-Edgar (2015); Rothbart (2011)"
DEV,PER,0.70,+,parametric,childhood-to-adulthood,"D: TEMP_IN→LAYER_TRT childhood-peak gate; LAYER_TRT self-loop age-increasing","Development sets the trait hierarchy's weights and its rising rank-order stability (cumulative continuity)","Roberts & DelVecchio (2000)*; Hampson (2012)"
DEV,NEED,0.50,+,parametric,life-stage-windows,"F: gates extended from developmental clocks to life-stage windows","Life-stage windows re-weight need priorities (identity needs peak in adolescence, generativity in midlife)","Erikson (1950)*; Kenrick et al. (2010)"
DEV,ME,0.50,+,parametric,childhood,"C: DOM_EMO trajectory; G: regulation mechanism is acquired","Development installs appraisal repertoires and emotion-regulation capacity","Gross (1998)*; Berk (2018)"
DEV,DIS,0.55,+,disorder_prior,dev_window,"C: adversity cascades; H: SOC_DETERM edges carry dev_window gates","Developmental history is the master gate on all disorder priors; early windows weight adversity most heavily","Masten & Cicchetti (2010)*; Dickerson & Popli (2016)"
NEED,ME,0.80,+,cascade,none,"F→G closure: NEEDS_IF→APPR (0.80); F: SAT/FRU/MECH_PRI→MOT_IF (0.50–0.65)","Needs are the input layer of motivation: deficits and priorities set the goal-relevance of stimuli entering appraisal","Ryan & Deci (2000)*; Buck (1985)"
NEED,DIS,0.55,+,disorder_prior,none,"F: frustration channel and OUT_IB; README: need frustration is the second person-specific disorder prior","Chronic need frustration generates ill-being, defensiveness, and disorder risk","Vansteenkiste & Ryan (2013)*; Ryan & Deci (2000)*"
ME,NEED,0.50,+,feedback,none,"New at composition (J); closes the F→G loop anticipated by Batch G's OUT_ACT node","Motivated action is the person's means of need satisfaction; its failure re-energizes the deficit","Hull (1943)*; Ryan & Deci (2000)*"
PER,NEED,0.60,+,cascade,acquired-over-development,"F: PERS_IF→MECH_STR (0.60)","Traits and learning history set dispositional need strengths","McClelland (1961)*; Montag et al. (2020)"
