node_id,stratum,label,level,parent,role
DIS.P,DIS,General psychopathology (p),0,,mother
DIS.SS_EMO,DIS,Emotional dysfunction superspectrum,1,DIS.P,internal
DIS.SS_PSY,DIS,Psychosis superspectrum,1,DIS.P,internal
DIS.SS_EXT,DIS,Externalizing superspectrum,1,DIS.P,internal
DIS.SP_INT,DIS,Internalizing,2,DIS.SS_EMO,internal
DIS.SP_SOM,DIS,Somatoform,2,DIS.SS_EMO,internal
DIS.SP_THO,DIS,Thought disorder,2,DIS.SS_PSY,internal
DIS.SP_DET,DIS,Detachment,2,DIS.SS_PSY,internal
DIS.SP_DIS,DIS,Disinhibited externalizing,2,DIS.SS_EXT,internal
DIS.SP_ANT,DIS,Antagonistic externalizing,2,DIS.SS_EXT,internal
DIS.SP_NDV,DIS,Neurodevelopmental (provisional),2,DIS.P,internal
DIS.SF_DIST,DIS,Distress subfactor,3,DIS.SP_INT,internal
DIS.SF_FEAR,DIS,Fear subfactor,3,DIS.SP_INT,internal
DIS.SF_EAT,DIS,Eating pathology subfactor,3,DIS.SP_INT,internal
DIS.SF_SEX,DIS,Sexual problems subfactor,3,DIS.SP_INT,internal
DIS.SF_MAN,DIS,Mania subfactor,3,DIS.SP_THO,internal
DIS.SF_SUB,DIS,Substance abuse subfactor,3,DIS.SP_DIS,internal
DIS.SF_ASB,DIS,Antisocial behavior subfactor,3,DIS.SP_DIS,internal
THER.N01,THER,Entry / Triage,0,,internal
THER.N02,THER,Safety + Ethical Frame,0,,internal
THER.N03,THER,Engagement / Alliance,0,,internal
THER.N04,THER,Assessment,0,,internal
THER.N05,THER,Case Formulation,0,,internal
THER.N06,THER,Goal Agreement,0,,internal
THER.N07,THER,Change Work / Intervention,0,,internal
THER.N08,THER,Practice + Generalization,0,,internal
THER.N09,THER,Outcome Monitoring,0,,internal
THER.N10,THER,Review + Adaptation,0,,internal
THER.N11,THER,Consolidation / Termination / Maintenance,0,,internal
THER.S0301,THER,Bond,1,THER.N03,internal
THER.S0302,THER,Task Agreement,1,THER.N03,internal
THER.S0303,THER,Goal Agreement (alliance facet),1,THER.N03,internal
THER.S0304,THER,Empathy / Validation,1,THER.N03,internal
THER.S0305,THER,Collaboration,1,THER.N03,internal
THER.S0306,THER,Rupture Detection + Repair,1,THER.N03,internal
THER.S0501,THER,Presenting Problem,1,THER.N05,internal
THER.S0502,THER,Triggers,1,THER.N05,internal
THER.S0503,THER,Emotion / Body State,1,THER.N05,internal
