source,target,weight,sign,type,gate,evidence_basis,primary_source
N,NEED_PHY,0.85,+,hierarchical,none,"System decomposes into consensus need domains","Sohrabi et al. (2021); Maslow (1943)*"
N,NEED_SAF,0.80,+,hierarchical,none,"System decomposes into consensus need domains","Sohrabi et al. (2021); Kenrick et al. (2010)"
N,NEED_REL,0.85,+,hierarchical,none,"System decomposes into consensus need domains","Ryan & Deci (2000); Baumeister & Leary (1995)*"
N,NEED_EST,0.75,+,hierarchical,none,"System decomposes into consensus need domains","Maslow (1943)*; Kenrick et al. (2010)"
N,NEED_COM,0.85,+,hierarchical,none,"System decomposes into consensus need domains","Ryan & Deci (2000)"
N,NEED_AUT,0.85,+,hierarchical,none,"System decomposes into consensus need domains","Ryan & Deci (2000)"
N,NEED_MEA,0.70,+,hierarchical,none,"Candidate fourth SDT-grade need; growth apex in hierarchy traditions","Tønnesvang (2025); Maslow (1943)*"
NEED_PHY,SUB_PHY1,0.80,+,hierarchical,none,"Domain-facet structure","Maslow (1943)*"
NEED_PHY,SUB_PHY2,0.75,+,hierarchical,none,"Domain-facet structure","Maslow (1943)*"
NEED_SAF,SUB_SAF1,0.80,+,hierarchical,none,"Domain-facet structure","Kenrick et al. (2010)"
NEED_SAF,SUB_SAF2,0.70,+,hierarchical,none,"Predictability as basic-need component","Dweck (2017)*"
NEED_REL,SUB_REL1,0.80,+,hierarchical,none,"Domain-facet structure","Baumeister & Leary (1995)*"
NEED_REL,SUB_REL2,0.75,+,hierarchical,none,"Domain-facet structure","Baumeister & Leary (1995)*; McClelland (1961)*"
NEED_REL,SUB_REL3,0.65,+,hierarchical,life-stage,"Evolutionary overlay: mating/care motives emerge with life stage","Kenrick et al. (2010)"
NEED_EST,SUB_EST1,0.75,+,hierarchical,none,"Domain-facet structure","Kenrick et al. (2010); McClelland (1961)*"
NEED_EST,SUB_EST2,0.75,+,hierarchical,none,"Domain-facet structure","Maslow (1943)*"
NEED_COM,SUB_COM1,0.80,+,hierarchical,none,"Domain-facet structure","Ryan & Deci (2000)"
NEED_COM,SUB_COM2,0.75,+,hierarchical,none,"Domain-facet structure","McClelland (1961)*"
NEED_AUT,SUB_AUT1,0.80,+,hierarchical,none,"Domain-facet structure","Ryan & Deci (2000)"
NEED_AUT,SUB_AUT2,0.75,+,hierarchical,none,"Domain-facet structure","Ryan & Deci (2000); Tønnesvang (2025)"
NEED_MEA,SUB_MEA1,0.80,+,hierarchical,none,"Domain-facet structure","Tønnesvang (2025)"
NEED_MEA,SUB_MEA2,0.75,+,hierarchical,none,"Domain-facet structure","Maslow (1943)*; McLeod (2025)"
NEED_PHY,SAT,0.60,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Ryan & Deci (2000); Dunton et al. (2023)"
NEED_SAF,SAT,0.55,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Dunton et al. (2023)"
NEED_REL,SAT,0.65,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Ryan & Deci (2000)"
NEED_EST,SAT,0.55,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Montag et al. (2020)"
NEED_COM,SAT,0.65,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Ryan & Deci (2000)"
NEED_AUT,SAT,0.65,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Ryan & Deci (2000); Skues et al. (2025)"
NEED_MEA,SAT,0.60,+,cascade,none,"Domain fulfillment feeds the satisfaction channel","Tønnesvang (2025)"
NEED_PHY,FRU,0.60,+,cascade,none,"Active deprivation feeds the frustration channel","Maslow (1943)*; Vansteenkiste et al. (2020)*"
NEED_SAF,FRU,0.60,+,cascade,none,"Threat exposure feeds the frustration channel","Kenrick et al. (2010); Vansteenkiste et al. (2020)*"
NEED_REL,FRU,0.65,+,cascade,none,"Exclusion and rejection feed the frustration channel","Baumeister & Leary (1995)*; Vansteenkiste & Ryan (2013)*"
NEED_EST,FRU,0.55,+,cascade,none,"Status loss feeds the frustration channel","Kenrick et al. (2010)"
NEED_COM,FRU,0.60,+,cascade,none,"Failure and helplessness feed the frustration channel","Vansteenkiste & Ryan (2013)*"
NEED_AUT,FRU,0.65,+,cascade,none,"Control and coercion feed the frustration channel","Ryan & Deci (2000); Vansteenkiste & Ryan (2013)*"
NEED_MEA,FRU,0.55,+,cascade,none,"Meaninglessness feeds the frustration channel","Tønnesvang (2025)"
CTX_ENV,SAT,0.65,+,transactional,none,"Need-supportive environments raise satisfaction","Ryan & Deci (2000); Skues et al. (2025)"
CTX_ENV,FRU,0.60,+,transactional,none,"Need-thwarting environments produce frustration (distinct path)","Vansteenkiste & Ryan (2013)*; Vansteenkiste et al. (2020)*"
SAT,OUT_WB,0.70,+,cascade,none,"Satisfaction predicts vitality, intrinsic motivation, flourishing","Ryan & Deci (2000); Dunton et al. (2023)"
SAT,OUT_IB,0.35,-,cascade,none,"Satisfaction dampens ill-being (weaker than frustration's push; asymmetry)","Vansteenkiste et al. (2020)*"
FRU,OUT_IB,0.70,+,cascade,none,"Frustration predicts defensiveness and psychopathology risk","Vansteenkiste & Ryan (2013)*"
FRU,OUT_WB,0.35,-,cascade,none,"Frustration erodes wellbeing (asymmetric dual process)","Vansteenkiste et al. (2020)*"
